GENOTYPES,Disease incubation time (days),Disease evolution time (days),Disease development time (days),yls_report
FHIA-01,15.3,51,65.4,11
FHIA-02,13.7,49.3,62.8,11
FHIA-03,15.6,28.4,43.2,7
FHIA-04,17.9,30.1,47.2,6
FHIA-05,15.9,19.2,34.6,5
FHIA-06,15.6,23.8,40.9,6
FHIA-07,15,17.9,33.4,5
Niyarma Yik,15,15,30,5
Pisang Berlin,13.9,21.6,35.6,6
Pisang Mas,15.7,18.2,33.5,5
Pisang Lilin,16,26.5,41.9,7
Tuu Gia,17.7,52.6,69.3,10
SF 215 / NBA 14,14.7,16.5,31.5,5
Pahang,13.8,45.5,59.4,10
Calcutta 4,19.2,53.1,70.9,10
Tani,16.8,42.9,59.6,3
Grande Naine,15.3,13.5,28.7,3.9
Falso Cuerno,15.2,18.8,33.6,4.4
