FIRST CYCLE,,,,,,,,,,,,,,,
GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Height of following sucker at harvest (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Average fruit weight (g),Disease index at 6 months after planting (index),Disease index at shooting (index),Disease index at harvest (index),Average disease development time (days),Youngest leaf spotted,Leaf emission rate (leaves)
FHIA-23,435.91,76.56,512.46,373.64,312.53,30.43,12.93,219.46,124.33,27.29,25.42,71.57,44.79,5.12,
PV-03.44,254.76,133.08,387.84,270.99,362.90,10.79,6.02,77.30,128.80,21.55,16.78,70.35,73.42,6.39,
PA-03.22,219.54,129.86,349.40,169.54,236.16,7.10,6.26,72.72,90.60,26.09,17.07,56.62,81.51,6.26,
SH-3436-9,375.31,74.84,450.15,300.47,255.61,25.63,11.60,179.94,123.75,22.26,19.22,62.52,49.34,5.62,
Yangambi Km 5,346.37,106.03,452.40,237.48,296.08,17.20,7.82,147.92,107.36,18.06,13.12,26.68,78.05,7.65,
Saba,278.83,101.06,379.88,297.73,362.97,22.46,5.96,75.96,284.87,30.51,20.68,34.31,85.38,7.78,
Pisang Ceylan,315.48,93.22,408.70,305.24,367.54,22.75,11.12,182.59,116.70,25.50,14.17,26.73,84.33,8.85,
Calcutta 4,,,,,,,,,,0.00,0.00,0.00,64.00,8.00,
Pisang Lilin,224.95,,348.12,127.93,158.25,1.15,3.43,35.93,23.75,12.03,14.77,85.00,63.10,6.73,
Pisang Berlin,331.16,50.67,381.82,199.32,116.28,9.40,7.38,112.54,78.66,30.36,18.03,28.56,65.97,6.87,
Niyarma-Yik,390.00,39.92,429.91,310.81,111.00,9.50,7.50,101.41,90.83,27.53,22.51,44.03,42.50,4.65,
Local cv. (FHIA-18),359.16,110.93,470.09,294.97,299.49,22.14,9.75,148.69,136.30,21.38,16.96,50.79,64.16,7.31,
