GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Height of following sucker at shooting (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Average fruit weight (g),Disease index at 6 months after planting,Disease index at shooting,Disease index at harvest,Average disease development time (days),Youngest leaf spotted,Leaf emission rate (leaves)
FHIA-23,410.82,,471.60,245.80,193.83,15.84,8.25,117.25,111.43,20.34,25.42,46.64,91.93,9.93,0.85
PV-03.44,278.12,,398.90,241.87,220.33,9.75,6.40,89.85,86.17,16.12,23.94,40.22,78.33,9.75,0.99
PA-03.22,233.50,,354.07,173.51,188.75,5.51,6.31,77.91,58.17,21.38,27.30,52.49,74.71,9.19,0.95
SH-3436-9,378.42,,432.23,182.43,146.33,10.40,7.17,94.96,91.50,25.00,40.26,52.38,70.59,10.17,1.08
Yangambi Km 5,323.81,,407.62,185.95,177.74,8.01,6.65,106.95,60.47,6.05,12.72,27.68,75.50,9.50,0.92
Saba,268.70,,355.51,295.17,213.57,20.54,6.76,97.70,201.13,12.18,15.71,22.80,95.23,11.75,1.03
Pisang Ceylan,287.38,,366.73,232.20,214.10,13.98,9.78,158.30,81.53,22.54,25.69,36.01,87.20,11.24,1.01
Calcutta 4,295.40,,399.43,168.22,172.47,0.47,4.72,51.43,9.00,7.55,14.83,34.52,61.50,11.50,1.06
Pisang Lilin,235.60,,318.56,107.27,109.96,0.51,3.09,43.15,15.25,33.94,36.73,53.54,48.02,8.68,0.96
Pisang Berlin,326.00,,368.67,172.47,124.73,4.01,6.60,86.53,39.37,33.97,42.14,43.18,81.28,9.48,1.05
Niyarma-Yik,366.88,,415.50,209.67,132.63,4.63,5.67,80.33,45.28,45.26,50.18,67.68,59.80,6.57,0.93
Local cv. (Lakatan),395.37,,454.32,207.80,140.70,10.46,7.37,108.75,73.75,46.66,54.22,50.80,60.25,7.23,1.00
