GENOTYPES,Time from planting to shooting (days),Time from shooting to harvest (days),Time from planting to harvest (days),Height of pseudostem at shooting (cm),Height of following sucker at harvest (cm),Bunch weight (kg),Number of hands per bunch (hands),Total number of fingers per bunch (fingers),Average fruit weight (g),Disease index at 6 months after planting (index),Disease index at shooting (index),Disease index at harvest (index),Average disease development time (days),Youngest leaf spotted,Leaf emission rate (leaves)
FHIA-23,,,,407.52,330.44,36.68,15.07,281.72,114.11,,21.79,46,,,
PV-03.44,,,,316.4,308.2,12.72,7.88,125.32,91.09,,25.72,83.9,,,
PA-03.22,,,,428.58,445.5,18.44,7.98,132.6,122.26,,24.18,76.64,,,
SH-3436-9,,,,347.42,281.36,34.2,12.63,222.56,139.36,,24.46,57.43,,,
Yangambi Km 5,,,,392.82,320.08,23.07,9.8,216.94,90.28,,24.37,50.48,,,
Saba,,,,390.71,320.08,30.65,7.64,115.12,251.66,,28.7,66.42,,,
Pisang Ceylan,,,,415.87,360.73,31.46,14.53,260.96,111.08,,21.97,38.71,,,
Calcutta 4,,,,282.37,271.01,1.89,7.85,156.81,6.93,,3.39,11.73,,,
Pisang Lilin,,,,227,236.58,4.31,6.66,99,35.33,,17.29,65.66,,,
Pisang Berlin,,,,314.68,196.52,15.07,9.52,188.32,70.95,,32.67,46.96,,,
Niyarma-Yik,,,,337.87,116.72,7.87,6.47,86,82.99,,33.8,76.61,,,
Grande Naine,,,,291,216.84,20.65,10.32,180.24,102.54,,36.53,99.72,,,
