Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
PisangCeylan,A,1,PisangCeylanA1,mother,07/04/02,09/10/02,19/02/03,271,47,120,14,9,13.89,9,149,84,13,4,11,14,71.43
PisangCeylan,A,2,PisangCeylanA2,mother,07/04/02,16/10/02,05/03/03,290,49,127,16,8,15.03,10,179,86,11.5,3.9,8,16,43.75
PisangCeylan,A,3,PisangCeylanA3,mother,07/04/02,14/10/02,25/02/03,281,46,124,17,7,15.36,11,177,80,11,3.9,10,17,52.94
PisangCeylan,B,1,PisangCeylanB1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,B,2,PisangCeylanB2,mother,07/04/02,27/10/02,26/02/03,292,50,125,16,8,13.82,10,160,110,13,4.2,7,16,37.5
PisangCeylan,B,3,PisangCeylanB3,mother,NA,NA,NA,310,NA,110,11,NA,NA,NA,NA,58,10.5,3.7,7,16,37.5
PisangCeylan,C,1,PisangCeylanC1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,C,2,PisangCeylanC2,mother,07/04/02,19/10/02,05/03/03,282,48,124,16,7,15,10,165,85,10.5,3.8,8,16,43.75
PisangCeylan,C,3,PisangCeylanC3,mother,07/04/02,13/10/02,19/02/03,275,48,122,15,8,14.5,9,156,93,12,4.2,7,15,40
Williams,A,1,WilliamsA1,mother,07/04/02,11/12/02,11/04/03,NA,NA,45,11,5,24.27,11,172,136,18.5,4.1,6,11,45.45
Williams,A,2,WilliamsA2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,A,3,WilliamsA3,mother,07/04/02,14/10/02,05/03/03,145,45,42,17,3,14.3,8,135,92,13.5,4,5,17,23.53
Williams,B,1,WilliamsB1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,2,WilliamsB2,mother,07/04/02,27/10/02,03/03/03,170,48,45,17,4,17.58,10,177,94,14,3.8,6,17,29.41
Williams,B,3,WilliamsB3,mother,07/04/02,05/10/02,26/02/03,155,40,40,18,2,14.77,9,141,90,13,3.9,7,18,33.33
Williams,C,1,WilliamsC1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,C,2,WilliamsC2,mother,07/04/02,06/10/02,21/02/03,163,45,49,17,2,13.22,8,129,84,11.5,4,7,17,35.29
Williams,C,3,WilliamsC3,mother,07/04/02,03/10/02,01/03/03,155,46,54,17,3,16.42,9,155,94,15,3.9,7,17,35.29
PisangBerlin,A,1,PisangBerlinA1,mother,07/04/02,12/10/02,03/03/03,200,33,48,16,9,5.1,8,123,40,10,3.5,12,16,68.75
PisangBerlin,A,2,PisangBerlinA2,mother,07/04/02,22/10/02,19/03/03,205,33,52,14,8,4.42,6,105,34,9,3.5,11,14,71.43
PisangBerlin,A,3,PisangBerlinA3,mother,07/04/02,29/10/02,19/03/03,210,34,50,13,7,4.9,7,118,30,8.5,3.5,10,13,69.23
PisangBerlin,B,1,PisangBerlinB1,mother,07/04/02,21/12/02,06/04/03,210,32,47,10,5,4.6,7,117,36,9.5,3.4,12,14,78.57
PisangBerlin,B,2,PisangBerlinB2,mother,07/04/02,01/11/02,19/03/03,195,34,42,13,5,4.85,7,122,35,9.4,3.5,11,13,76.92
PisangBerlin,B,3,PisangBerlinB3,mother,07/04/02,22/10/02,09/03/03,205,35,47,13,5,5.15,8,128,32,7.5,3.6,11,13,76.92
PisangBerlin,C,1,PisangBerlinC1,mother,07/04/02,NA,08/03/03,210,33,46,12,7,4.58,8,118,36,9,3.3,9,13,61.54
PisangBerlin,C,2,PisangBerlinC2,mother,07/04/02,25/10/02,08/03/03,200,32,48,11,8,4.77,6,96,38,8.8,3.8,11,11,90.91
PisangBerlin,C,3,PisangBerlinC3,mother,07/04/02,19/10/02,16/03/03,198,36,47,12,7,4.28,8,114,34,8.5,3.6,11,12,83.33
CultivarRose,A,1,CultivarRoseA1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
