Cultivar,Block,Plant,Mat ID,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Leaf emission rate (new leaves/week) (growing phase),Disease development time (days) (growing phase),Youngest leaf spotted (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest)
FHIA17,A,1,FHIA17A1,2/1/2002,NA,NA,NA,NA,NA,10,11,154,NA,NA,NA,NA,3
FHIA17,A,2,FHIA17A2,2/1/2002,11/19/2002,1/21/2003,335,79,230,10,13,200,NA,NA,NA,6,3
FHIA17,A,3,FHIA17A3,2/1/2002,3/3/2003,5/20/2003,297,66,155,15,14,232,NA,NA,NA,6,1
FHIA17,A,4,FHIA17A4,2/1/2002,10/12/2002,NA,270,59,225,15,12,184,0.790375392581275,32.6666666666667,5,10,1
FHIA17,A,5,FHIA17A5,2/1/2002,2/4/2003,3/27/2003,280,69,150,12,10,138,0.798621177209887,35.6666666666667,6,7,2
FHIA17,A,6,FHIA17A6,2/1/2002,10/11/2002,NA,285,58,185,11,11,162,NA,NA,NA,10,2
FHIA17,A,7,FHIA17A7,2/1/2002,4/23/2003,7/1/2003,306,70,200,10,7,96,NA,NA,NA,5,2
FHIA17,A,8,FHIA17A8,2/1/2002,2/20/2003,5/2/2003,NA,NA,NA,9,10,147,0.739242742551566,37.6666666666667,4,6,2
FHIA17,A,9,FHIA17A9,2/1/2002,3/5/2003,NA,303,NA,170,13,13,206,0.671943197733639,37.3333333333333,NA,NA,3
FHIA17,A,10,FHIA17A10,2/1/2002,12/28/2002,3/11/2003,315,79,283,15,13,125,0.866583333333333,38.3333333333333,3,5,1
FHIA17,A,11,FHIA17A11,2/1/2002,10/30/2002,1/7/2003,350,88,215,15,11,165,0.697162450838921,38.6666666666667,4,6,2
FHIA17,A,12,FHIA17A12,2/1/2002,11/29/2002,1/28/2003,310,66,143,10,12,188,NA,NA,NA,5,1
FHIA17,A,13,FHIA17A13,2/1/2002,10/28/2002,1/7/2003,302,72,180,13,13,210,NA,NA,NA,7,0
FHIA17,A,14,FHIA17A14,2/1/2002,11/18/2002,1/21/2003,367,85,215,16,14,276,NA,NA,NA,7,1
FHIA17,A,15,FHIA17A15,2/1/2002,11/4/2002,1/7/2003,356,82,225,14,NA,NA,NA,NA,NA,7,1
FHIA17,B,1,FHIA17B1,2/1/2002,10/28/2002,12/23/2002,358,80,215,13,12,214,NA,NA,NA,7,0
FHIA17,B,2,FHIA17B2,2/1/2002,12/17/2002,2/27/2003,325,78,175,14,14,247,NA,NA,NA,5,3
FHIA17,B,3,FHIA17B3,2/1/2002,12/20/2002,3/4/2003,317,78,285,14,13,202,NA,NA,NA,5,3
FHIA17,B,4,FHIA17B4,2/1/2002,4/21/2003,6/26/2003,319,77,195,13,7,110,0.771928139942846,37,5,7,1
FHIA17,B,5,FHIA17B5,2/1/2002,1/13/2003,3/21/2003,315,73,150,13,11,166,0.779591432532609,38.3333333333333,3,6,3
FHIA17,B,6,FHIA17B6,2/1/2002,1/23/2003,3/21/2003,332,83,74,14,12,269,0.782352941176471,41,5,6,3
FHIA17,B,7,FHIA17B7,2/1/2002,11/10/2002,1/14/2003,345,83,200,14,14,227,NA,NA,NA,8,1
FHIA17,B,8,FHIA17B8,2/1/2002,2/9/2003,4/22/2003,322,78,175,20,11,165,0.73016615737204,35.6666666666667,5,7,1
FHIA17,B,9,FHIA17B9,2/1/2002,NA,NA,NA,NA,NA,28,15,216,NA,NA,NA,NA,0
FHIA17,B,10,FHIA17B10,2/1/2002,3/6/2003,6/3/2003,330,82,195,27,12,192,0.939955149215111,33.3333333333333,4,7,1
FHIA17,B,11,FHIA17B11,2/1/2002,11/5/2002,1/14/2003,345,81,215,14,14,231,0.810185185185185,38.3333333333333,5,8,1
FHIA17,B,12,FHIA17B12,2/1/2002,10/21/2002,12/23/2002,363,85,215,16,10,216,NA,NA,NA,5,0
FHIA17,B,13,FHIA17B13,2/1/2002,10/26/2002,12/23/2002,348,82,185,15,13,202,NA,NA,NA,6,0
FHIA17,B,14,FHIA17B14,2/1/2002,11/30/2002,2/5/2003,327,79,225,10,11,171,NA,NA,NA,6,0
FHIA17,B,15,FHIA17B15,2/1/2002,11/23/2002,2/5/2003,344,78,287,15,14,202,NA,NA,NA,7,0
FHIA17,C,1,FHIA17C1,2/1/2002,10/27/2002,12/23/2002,308,61,172,9,11,185,NA,NA,NA,6,0
FHIA17,C,3,FHIA17C3,2/1/2002,2/3/2003,4/2/2003,277,84,180,11,11,164,NA,NA,NA,4,3
FHIA17,C,4,FHIA17C4,2/1/2002,12/30/2002,3/11/2003,265,60,128,8,10,152,0.741050142931073,34,4,6,2
FHIA17,C,5,FHIA17C5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833013134872717,34,5,NA,NA
FHIA17,C,6,FHIA17C6,2/1/2002,11/18/2002,1/15/2003,321,68,142,11,11,170,NA,NA,NA,5,0
FHIA17,C,7,FHIA17C7,2/1/2002,11/4/2002,1/7/2003,315,65,120,11,9,191,NA,NA,NA,6,0
FHIA17,C,8,FHIA17C8,2/1/2002,11/9/2002,NA,310,67,120,NA,NA,NA,0.881182978241802,40.6666666666667,4,6,NA
FHIA17,C,9,FHIA17C9,2/1/2002,10/28/2002,12/23/2002,319,60,192,10,12,179,0.832303426421074,43.3333333333333,3,6,0
FHIA17,C,10,FHIA17C10,2/1/2002,11/10/2002,NA,323,75,160,NA,NA,NA,0.873751520810344,37.3333333333333,3,7,NA
FHIA17,C,11,FHIA17C11,2/1/2002,11/6/2002,1/7/2003,327,68,140,11,9,192,0.864232191192976,40.3333333333333,4,7,1
FHIA17,C,12,FHIA17C12,2/1/2002,11/15/2002,1/7/2003,335,69,135,12,13,205,NA,NA,NA,4,0
FHIA17,C,13,FHIA17C13,2/1/2002,10/26/2002,12/23/2002,328,78,177,13,11,205,NA,NA,NA,7,0
FHIA17,C,14,FHIA17C14,2/1/2002,10/21/2002,1/7/2003,334,77,230,11,11,184,NA,NA,NA,6,0
FHIA17,C,15,FHIA17C15,2/1/2002,11/2/2002,1/7/2003,320,74,165,13,12,126,NA,NA,NA,7,0
FHIA17,D,1,FHIA17D1,2/1/2002,NA,NA,NA,NA,NA,10,12,197,NA,NA,NA,NA,2
FHIA17,D,2,FHIA17D2,2/1/2002,11/23/2002,1/21/2003,334,76,195,15,13,220,NA,NA,NA,8,1
FHIA17,D,3,FHIA17D3,2/1/2002,11/28/2002,1/21/2003,306,70,180,15,11,205,NA,NA,NA,5,0
FHIA17,D,4,FHIA17D4,2/1/2002,10/29/2002,12/23/2002,312,72,235,11,9,189,1.00352532679739,43.6666666666667,3,5,0
FHIA17,D,5,FHIA17D5,2/1/2002,12/10/2002,2/20/2003,325,75,255,11,13,NA,NA,NA,NA,5,2
FHIA17,D,6,FHIA17D6,2/1/2002,12/31/2002,NA,290,66,195,NA,NA,NA,0.974673202614379,34.3333333333333,3,4,NA
FHIA17,D,7,FHIA17D7,2/1/2002,12/13/2002,2/12/2003,315,74,250,14,13,208,0.822045030133265,39.6666666666667,4,4,2
FHIA17,D,8,FHIA17D8,2/1/2002,10/15/2002,12/17/2002,320,77,240,13,11,178,NA,NA,NA,8,0
