Cultivar,Block,Plant,Date planted,Date shooting,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Number of functional leaves (shooting),Number of functional leaves (harvest)
PITA16,A,1,NA,NA,NA,NA,NA,NA,7,84,NA,NA
PITA16,A,40,6/28/2002,2/24/2003,290,54,25,NA,NA,NA,15,8
PITA16,A,39,6/28/2002,3/12/2003,260,48,35,NA,NA,NA,14,NA
PITA16,A,1,NA,NA,NA,NA,NA,20.45,7,84,NA,NA
PITA16,B,7,NA,1/5/2003,295,45,235,NA,NA,NA,8,8
PITA16,B,63,6/28/2002,11/20/2003,270,42,192,NA,NA,NA,4,NA
PITA16,B,6,6/28/2002,NA,NA,NA,NA,8.63,4,34,NA,NA
PITA16,B,5,NA,NA,NA,NA,NA,16,3,10,NA,9
PITA16,B,7,6/28/2002,6/22/2003,254,41,52,NA,NA,NA,10,7
PITA16,C,2,NA,12/13/2003,290,45,180,NA,NA,NA,9,NA
PITA16,C,2,NA,12/21/2003,340,53,57,NA,NA,NA,10,NA
PITA16,C,NA,6/28/2002,6/22/2003,233,37,71,NA,NA,NA,12,NA
FHIA03,A,4,6/28/2002,5/24/2003,264,59,65,NA,NA,NA,14,NA
FHIA03,A,10,6/28/2002,3/15/2003,255,64,90,NA,NA,NA,18,NA
FHIA03,A,11,6/28/2002,3/30/2003,246,60,65,NA,NA,NA,20,NA
FHIA03,A,3,6/28/2002,NA,NA,NA,NA,25.45,8,124,NA,NA
FHIA03,A,4,NA,NA,NA,NA,NA,20.45,10,160,NA,8
FHIA03,A,4,6/28/2002,NA,NA,NA,NA,24.54,8,128,NA,9
FHIA03,A,1,6/28/2002,NA,NA,NA,NA,23.18,8,128,NA,10
FHIA03,B,211,6/28/2002,3/2/2003,230,45,90,NA,NA,NA,19,6
FHIA03,B,75,6/28/2002,2/26/2003,268,58,80,NA,NA,NA,18,NA
FHIA03,B,74,6/28/2002,3/15/2003,152,55,40,NA,NA,NA,18,NA
FHIA03,B,76,6/28/2002,3/4/2003,255,58,35,NA,NA,NA,18,NA
FHIA03,B,73,6/28/2002,3/25/2003,215,55,110,NA,NA,NA,18,NA
FHIA03,B,7,6/28/2002,11/19/2003,330,77,320,NA,NA,NA,16,NA
FHIA03,B,5,6/28/2002,NA,NA,NA,NA,17.27,6,108,NA,NA
FHIA03,B,73,6/28/2002,NA,NA,NA,NA,10,6,78,NA,6
FHIA03,C,9,NA,NA,NA,NA,NA,NA,10,170,NA,5
FHIA03,C,10,NA,NA,NA,NA,NA,NA,10,180,NA,9
FHIA03,C,12,6/28/2002,5/11/2003,260,58,36,NA,NA,NA,14,7
FHIA03,C,167,6/28/2002,2/20/2003,260,60,110,NA,NA,NA,18,NA
FHIA03,C,165,6/28/2002,3/10/2003,252,60,100,NA,NA,NA,17,NA
FHIA03,C,7,NA,12/13/2003,320,80,310,NA,NA,NA,12,NA
FHIA03,C,12,6/28/2002,NA,NA,NA,NA,18.18,5,60,NA,NA
FHIA03,C,10,NA,NA,NA,NA,NA,25.45,10,180,NA,4
FHIA03,C,11,6/28/2002,NA,NA,NA,NA,20.45,10,170,NA,7
FHIA25,A,NA,NA,NA,NA,NA,NA,42.72,13,280,NA,8
FHIA25,A,3,6/28/2002,11/9/2003,340,95,150,NA,NA,NA,14,10
FHIA25,A,2,6/28/2002,10/20/2003,163,49,125,NA,NA,NA,6,NA
FHIA25,A,2,6/28/2002,10/20/2003,180,39,170,NA,NA,NA,9,NA
FHIA25,A,2,6/28/2002,10/20/2003,223,47,119,NA,NA,NA,5,NA
FHIA25,A,2,6/28/2002,10/20/2003,109,23,61,NA,NA,NA,3,NA
FHIA25,A,2,6/28/2002,NA,NA,NA,NA,31.81,16,204,NA,NA
FHIA25,A,3,6/28/2002,5/1/2003,260,80,145,NA,NA,NA,15,11
FHIA25,A,4,6/28/2002,NA,NA,NA,NA,43.63,14,200,NA,NA
FHIA25,A,3,6/28/2002,8/5/2003,162,44,114,NA,NA,NA,NA,9
FHIA25,A,1,6/28/2002,8/5/2003,162,47,118,NA,NA,NA,NA,NA
FHIA25,A,4,6/28/2002,8/5/2003,150,43,94,NA,NA,NA,NA,NA
FHIA25,B,5,6/28/2002,5/24/2003,242,44,165,NA,NA,NA,11,NA
FHIA25,B,6,6/28/2002,11/9/2003,280,80,180,NA,NA,NA,14,NA
FHIA25,B,5,6/28/2002,11/14/2003,300,85,135,NA,NA,NA,15,NA
FHIA25,B,7,6/28/2002,9/27/2003,NA,NA,NA,21.81,11,136,NA,NA
FHIA25,B,70,6/28/2002,8/5/2003,168,44,128,NA,NA,NA,NA,10
FHIA25,B,5,6/28/2002,NA,NA,NA,NA,16.36,6,130,NA,NA
FHIA25,C,11,6/28/2002,10/25/2003,280,53,68,NA,NA,NA,12,6
FHIA25,C,122,6/28/2002,8/5/2003,183,47,120,NA,NA,NA,NA,NA
FHIA25,C,121,6/28/2002,8/5/2003,177,51,140,NA,NA,NA,NA,NA
BITA2,A,2,NA,12/19/2003,410,58,390,NA,NA,NA,14,NA
BITA2,A,2,7/28/2002,11/1/2003,NA,NA,NA,13.18,5,58,NA,NA
