Cultivar,Plant,Mat ID,Plant cycle,Time period,Infection index
YangambiKm5,1,YangambiKm51,mother,10map,5.5
YangambiKm5,2,YangambiKm52,mother,10map,2
YangambiKm5,3,YangambiKm53,mother,10map,3
YangambiKm5,4,YangambiKm54,mother,10map,2.5
YangambiKm5,5,YangambiKm55,mother,10map,4.5
YangambiKm5,6,YangambiKm56,mother,10map,4
YangambiKm5,7,YangambiKm57,mother,10map,5
YangambiKm5,8,YangambiKm58,mother,10map,3.5
YangambiKm5,9,YangambiKm59,mother,10map,3.5
YangambiKm5,10,YangambiKm510,mother,10map,4.5
PITA16,1,PITA161,mother,10map,3.5
PITA16,2,PITA162,mother,10map,3
PITA16,3,PITA163,mother,10map,3
PITA16,4,PITA164,mother,10map,4.5
PITA16,5,PITA165,mother,10map,5
PITA16,6,PITA166,mother,10map,5
PITA16,7,PITA167,mother,10map,5
PITA16,8,PITA168,mother,10map,5
PITA16,9,PITA169,mother,10map,1
PITA16,10,PITA1610,mother,10map,0
TMBx91283,1,TMBx912831,mother,10map,3.5
TMBx91283,2,TMBx912832,mother,10map,7
TMBx91283,3,TMBx912833,mother,10map,7.5
TMBx91283,4,TMBx912834,mother,10map,7
TMBx91283,5,TMBx912835,mother,10map,6.5
TMBx91283,6,TMBx912836,mother,10map,4
TMBx91283,7,TMBx912837,mother,10map,6
TMBx91283,8,TMBx912838,mother,10map,8
TMBx91283,9,TMBx912839,mother,10map,7.5
TMBx91283,10,TMBx9128310,mother,10map,8
PisangLemakManis,1,PisangLemakManis1,mother,10map,5
PisangLemakManis,2,PisangLemakManis2,mother,10map,6
PisangLemakManis,3,PisangLemakManis3,mother,10map,6
PisangLemakManis,4,PisangLemakManis4,mother,10map,2
PisangLemakManis,5,PisangLemakManis5,mother,10map,1
PisangLemakManis,6,PisangLemakManis6,mother,10map,7.5
PisangLemakManis,7,PisangLemakManis7,mother,10map,7
PisangLemakManis,8,PisangLemakManis8,mother,10map,6.5
PisangLemakManis,9,PisangLemakManis9,mother,10map,4.5
PisangLemakManis,10,PisangLemakManis10,mother,10map,3.5
Foconah,1,Foconah1,mother,10map,8.5
Foconah,2,Foconah2,mother,10map,5
Foconah,3,Foconah3,mother,10map,8.5
Foconah,4,Foconah4,mother,10map,3
Foconah,5,Foconah5,mother,10map,6.5
Foconah,6,Foconah6,mother,10map,6
Foconah,7,Foconah7,mother,10map,7.5
Foconah,8,Foconah8,mother,10map,5.5
Foconah,9,Foconah9,mother,10map,8.5
