Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
PisangCeylan,A,1,PisangCeylanA1,ratoon,NA,NA,NA,340,42,110,14,8,19.05,12,216,90,14,4.21,11,14,71.43
PisangCeylan,A,2,PisangCeylanA2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,A,3,PisangCeylanA3,ratoon,NA,NA,NA,362,40,118,12,7,17.58,14,284,55.5,12.5,4,11,12,83.33
PisangCeylan,B,1,PisangCeylanB1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,B,2,PisangCeylanB2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,B,3,PisangCeylanB3,ratoon,NA,NA,NA,405,66,335,12,2,17.21,13,233,57,9.85,3.58,12,12,91.67
PisangCeylan,C,1,PisangCeylanC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,C,2,PisangCeylanC2,ratoon,NA,NA,NA,390,67,235,12,2,11.48,10,147,54.5,11,3.66,9,12,66.67
PisangCeylan,C,3,PisangCeylanC3,ratoon,NA,NA,NA,335,NA,285,12,NA,NA,NA,NA,NA,NA,NA,8,12,58.33
Williams,A,1,WilliamsA1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,A,2,WilliamsA2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,A,3,WilliamsA3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,1,WilliamsB1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,2,WilliamsB2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,3,WilliamsB3,ratoon,NA,NA,NA,150,NA,55,14,NA,NA,NA,NA,NA,NA,NA,8,14,50
Williams,C,1,WilliamsC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,C,2,WilliamsC2,ratoon,NA,NA,NA,160,48,45,13,3,7.64,8,124,65.53,NA,NA,7,13,46.15
Williams,C,3,WilliamsC3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangBerlin,A,1,PisangBerlinA1,ratoon,NA,NA,NA,225,29,73,13,7,2.16,5,58,33,8,3.03,10,13,69.23
PisangBerlin,A,2,PisangBerlinA2,ratoon,NA,NA,NA,215,30,68,14,6,2.37,5,58,33.5,7.65,2.95,11,14,71.43
PisangBerlin,A,3,PisangBerlinA3,ratoon,NA,NA,NA,190,30,40,15,6,3.06,7,114,32,8,2.9,9,15,53.33
PisangBerlin,B,1,PisangBerlinB1,ratoon,NA,NA,NA,250,37,70,12,10,5.59,7,115,37,8.5,3.03,10,12,75
PisangBerlin,B,2,PisangBerlinB2,ratoon,NA,NA,NA,245,39,25,13,4,5.28,8,139,33.49,NA,NA,10,13,69.23
PisangBerlin,B,3,PisangBerlinB3,ratoon,NA,NA,NA,255,39,75,12,8,4.81,8,142,30,10,2.87,9,12,66.67
PisangBerlin,C,1,PisangBerlinC1,ratoon,NA,NA,NA,215,NA,55,14,NA,NA,NA,NA,NA,NA,NA,8,14,50
PisangBerlin,C,2,PisangBerlinC2,ratoon,NA,NA,NA,245,27,85,13,8,3.17,6,76,44,11,2.95,10,13,69.23
PisangBerlin,C,3,PisangBerlinC3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,A,1,CultivarRoseA1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,A,2,CultivarRoseA2,ratoon,NA,NA,NA,187,NA,65,12,5,4.64,9,125,30.5,9.5,2.39,8,12,58.33
CultivarRose,A,3,CultivarRoseA3,ratoon,NA,NA,NA,205,27,61,8,2,4.14,11,158,30,10,2.79,5,8,50
CultivarRose,B,1,CultivarRoseB1,ratoon,NA,NA,NA,165,NA,82,11,NA,NA,NA,NA,NA,NA,NA,9,11,72.73
CultivarRose,B,2,CultivarRoseB2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,B,3,CultivarRoseB3,ratoon,NA,NA,NA,175,32,85,9,1,3.2,9,132,20,7.5,1.88,7,9,66.67
CultivarRose,C,1,CultivarRoseC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,C,2,CultivarRoseC2,ratoon,NA,NA,NA,240,NA,70,7,NA,NA,NA,NA,NA,NA,NA,5,7,57.14
CultivarRose,C,3,CultivarRoseC3,ratoon,NA,NA,NA,242,28,83,8,3,3.32,10,122,29,9.5,2.79,4,5,60
FHIA18,A,1,FHIA18A1,ratoon,NA,NA,NA,315,NA,155,16,NA,NA,NA,NA,NA,NA,NA,15,17,82.35
FHIA18,A,2,FHIA18A2,ratoon,NA,NA,NA,335,NA,285,14,NA,NA,NA,NA,NA,NA,NA,13,14,85.71
FHIA18,A,3,FHIA18A3,ratoon,NA,NA,NA,320,NA,160,15,NA,NA,NA,NA,NA,NA,NA,13,15,80
FHIA18,B,1,FHIA18B1,ratoon,NA,NA,NA,335,NA,110,15,NA,NA,NA,NA,NA,NA,NA,14,15,86.67
FHIA18,B,2,FHIA18B2,ratoon,NA,NA,NA,330,NA,115,13,NA,NA,NA,NA,NA,NA,NA,11,13,76.92
FHIA18,B,3,FHIA18B3,ratoon,NA,NA,NA,260,NA,95,14,NA,NA,NA,NA,NA,NA,NA,12,14,78.57
FHIA18,C,1,FHIA18C1,ratoon,NA,NA,NA,350,NA,160,17,NA,NA,NA,NA,NA,NA,NA,14,17,76.47
FHIA18,C,2,FHIA18C2,ratoon,NA,NA,NA,290,NA,165,14,NA,NA,NA,NA,NA,NA,NA,13,14,85.71
FHIA18,C,3,FHIA18C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B7925,A,1,B7925A1,ratoon,NA,NA,NA,245,NA,40,15,NA,NA,NA,NA,NA,NA,NA,11,15,66.67
B7925,A,2,B7925A2,ratoon,NA,NA,NA,260,NA,140,13,NA,NA,NA,NA,NA,NA,NA,12,13,84.62
B7925,A,3,B7925A3,ratoon,NA,NA,NA,250,NA,100,15,NA,NA,NA,NA,NA,NA,NA,13,15,80
