Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of standing leaves (shooting),Height of following sucker (cm) (harvest),Number of standing leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in the bunch,Weight of fruit (g),Disease development time (growing phase),Youngest leaf spotted (shooting),Youngest leaf spotted (harvest),Leaf emission rate (new leaves/week) (growing phase),Index of non-spotted leaves (shooting)
BurroCemsa,A,1,BurroCemsaA1,mother,11/17/1999,5/15/2000,8/29/2000,315,79,310,18,NA,4,22,9,129,168.61,110.1666667,8.230769231,15,1.155128205,77.77777778
BurroCemsa,A,2,BurroCemsaA2,mother,11/17/1999,6/6/2000,9/25/2000,340,74,325,18,NA,4,21,9,125,154.24,102.4666667,7.333333333,15,1.200555556,77.77777778
BurroCemsa,A,3,BurroCemsaA3,mother,11/17/1999,6/6/2000,9/29/2000,335,74,340,18,NA,3,25,9,139,170.35,99.86666667,6.866666667,16,1.181746032,83.33333333
BurroCemsa,A,4,BurroCemsaA4,mother,11/17/1999,6/16/2000,10/9/2000,330,74,365,18,NA,4,25,9,130,176.76,94.125,7.5625,10,1.226111111,50
BurroCemsa,B,1,BurroCemsaB1,mother,11/17/1999,6/9/2000,9/27/2000,335,71,255,18,NA,4,25,9,128,173.18,104.2666667,8.133333333,15,1.104761905,77.77777778
BurroCemsa,B,2,BurroCemsaB2,mother,11/17/1999,5/24/2000,8/29/2000,325,74,335,17,NA,5,23.5,10,134,149.02,108.3333333,8.25,15,1.100757576,82.35294118
BurroCemsa,B,3,BurroCemsaB3,mother,11/17/1999,6/8/2000,9/29/2000,335,71,310,19,NA,4,23,8,118,179.32,107.8666667,7.4,16,1.128769841,78.94736842
BurroCemsa,B,4,BurroCemsaB4,mother,11/17/1999,5/26/2000,9/18/2000,315,68,350,17,NA,4,23.5,8,117,176.41,106.75,8.333333333,16,1.053030303,88.23529412
BurroCemsa,C,1,BurroCemsaC1,mother,11/17/1999,5/31/2000,9/18/2000,330,73,340,18,NA,5,25.5,8,119,199.07,108.0769231,6.384615385,16,1.059027778,83.33333333
BurroCemsa,C,2,BurroCemsaC2,mother,11/17/1999,6/2/2000,9/22/2000,340,72,320,19,NA,3,21,8,120,159.16,105,7.571428571,16,1.125641026,78.94736842
BurroCemsa,C,3,BurroCemsaC3,mother,11/17/1999,6/6/2000,9/27/2000,315,68,290,19,NA,4,22,8,101,193.46,95.38461538,7.461538462,15,1.081944444,73.68421053
BurroCemsa,C,4,BurroCemsaC4,mother,11/17/1999,6/25/2000,10/16/2000,330,71,330,18,NA,4,26,9,127,169.29,98.75,7.4375,11,0.948784219,55.55555556
BurroCemsa,D,1,BurroCemsaD1,mother,11/17/1999,6/7/2000,9/25/2000,330,78,365,18,NA,4,21,9,122,158.19,101.6666667,7.133333333,15,1.161309524,77.77777778
BurroCemsa,D,2,BurroCemsaD2,mother,11/17/1999,5/29/2000,9/18/2000,325,73,345,18,NA,5,23,10,132,161.66,107.8461538,6.923076923,15,1.188888889,77.77777778
BurroCemsa,D,3,BurroCemsaD3,mother,11/17/1999,5/20/2000,9/7/2000,325,71,215,18,NA,5,22,8,107,187.82,110.4166667,6.666666667,16,1.132070707,83.33333333
BurroCemsa,D,4,BurroCemsaD4,mother,11/17/1999,6/13/2000,10/9/2000,315,71,330,19,NA,5,23.5,9,129,161.86,99.875,7.75,11,1.137222222,52.63157895
BurroCemsa,E,1,BurroCemsaE1,mother,11/17/1999,6/12/2000,10/2/2000,325,74,350,18,NA,3,28,10,138,193.84,104.6,6.666666667,15,1.160119048,77.77777778
BurroCemsa,E,2,BurroCemsaE2,mother,11/17/1999,6/13/2000,10/9/2000,330,72,375,19,NA,4,29,10,141,182.12,103.8,7.466666667,15,1.157142857,73.68421053
BurroCemsa,E,3,BurroCemsaE3,mother,11/17/1999,5/30/2000,9/18/2000,330,73,340,19,NA,5,25,9,129,184.96,106.7142857,6.642857143,16,1.144871795,78.94736842
BurroCemsa,E,4,BurroCemsaE4,mother,11/17/1999,5/12/2000,8/24/2000,320,74,370,19,NA,5,30,10,142,210.48,113.3636364,6.545454545,16,1.193333333,78.94736842
FHIA18,A,1,FHIA18A1,mother,11/17/1999,7/8/2000,11/2/2000,305,81,275,15,NA,8,33,10,164,179.75,NA,NA,0,1.030709877,100
FHIA18,A,2,FHIA18A2,mother,11/17/1999,6/27/2000,10/26/2000,310,85,285,16,NA,9,29,11,177,148.13,NA,NA,0,1.045740741,100
FHIA18,A,3,FHIA18A3,mother,11/17/1999,6/22/2000,10/16/2000,285,83,310,17,NA,9,31,10,162,166.17,NA,NA,0,1.097592593,100
FHIA18,A,4,FHIA18A4,mother,11/17/1999,6/14/2000,10/12/2000,295,88,285,18,NA,7,32.5,11,183,152.89,NA,NA,0,1.038293651,100
FHIA18,B,1,FHIA18B1,mother,11/17/1999,7/9/2000,11/2/2000,305,86,280,14,NA,7,28,10,170,151.88,NA,NA,0,1.173099415,100
FHIA18,B,2,FHIA18B2,mother,11/17/1999,7/7/2000,11/10/2000,310,85,245,15,NA,8,27,9,145,166.89,NA,NA,0,1.143859649,100
FHIA18,B,3,FHIA18B3,mother,11/17/1999,7/10/2000,10/27/2000,325,92,225,18,NA,9,32,11,184,144.78,NA,NA,0,1.159027778,100
FHIA18,B,4,FHIA18B4,mother,11/17/1999,6/11/2000,10/10/2000,300,88,270,18,NA,9,28.5,11,184,139.67,NA,NA,0,1.1640625,100
FHIA18,C,1,FHIA18C1,mother,11/17/1999,7/25/2000,11/10/2000,305,88,220,16,NA,8,28,11,177,143.27,NA,NA,0,1.050694444,100
FHIA18,C,2,FHIA18C2,mother,11/17/1999,7/25/2000,11/13/2000,295,93,240,16,NA,9,33,11,180,160.66,NA,NA,0,1.007908028,100
FHIA18,C,3,FHIA18C3,mother,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA18,C,4,FHIA18C4,mother,11/17/1999,7/4/2000,10/30/2000,285,86,310,16,NA,7,27,12,186,121.4,NA,NA,0,1.0484375,100
FHIA18,D,1,FHIA18D1,mother,11/17/1999,6/15/2000,10/10/2000,305,87,295,17,NA,8,28.5,11,189,140.31,NA,NA,0,1.079960317,100
FHIA18,D,2,FHIA18D2,mother,11/17/1999,6/27/2000,10/30/2000,330,90,305,16,NA,9,29,12,178,151.68,NA,NA,0,1.08627451,100
FHIA18,D,3,FHIA18D3,mother,11/17/1999,6/8/2000,10/9/2000,290,69,265,16,NA,8,25,10,166,126.98,NA,NA,0,1.094642857,100
FHIA18,D,4,FHIA18D4,mother,11/17/1999,5/29/2000,9/27/2000,305,89,330,18,NA,8,25,10,173,131.44,NA,NA,0,1.148611111,100
FHIA18,E,1,FHIA18E1,mother,11/17/1999,7/17/2000,11/10/2000,305,75,260,16,NA,8,15,9,129,102.94,NA,NA,0,1.191269841,100
FHIA18,E,2,FHIA18E2,mother,11/17/1999,7/6/2000,10/30/2000,300,86,295,15,NA,7,30,11,178,147.3,NA,NA,0,1.070833333,100
FHIA18,E,3,FHIA18E3,mother,11/17/1999,7/5/2000,10/26/2000,305,89,265,16,NA,9,35,11,187,144.81,NA,NA,0,0.999183007,100
FHIA18,E,4,FHIA18E4,mother,11/17/1999,6/8/2000,10/9/2000,315,87,255,17,NA,9,27,11,191,127.32,NA,NA,0,1.086904762,100
PV42320,A,1,PV42320A1,mother,11/17/1999,8/22/2000,12/22/2000,380,74,369,14,NA,4,19,5,65,257.23,NA,NA,0,0.846982988,100
PV42320,A,2,PV42320A2,mother,11/17/1999,7/5/2000,11/2/2000,350,69,270,16,NA,6,16,6,86,178.37,NA,NA,0,1.102777778,100
PV42320,A,3,PV42320A3,mother,11/17/1999,5/7/2000,8/29/2000,310,74,400,16,NA,8,20.5,7,109,173.93,NA,NA,0,1.048611111,100
PV42320,A,4,PV42320A4,mother,11/17/1999,5/26/2000,9/27/2000,310,65,380,16,NA,6,19,7,91,185.05,NA,NA,0,1.076388889,100
PV42320,B,1,PV42320B1,mother,11/17/1999,6/1/2000,9/29/2000,335,72,385,15,NA,6,20,7,106,179.2,NA,NA,0,1.123214286,100
PV42320,B,2,PV42320B2,mother,11/17/1999,6/4/2000,9/29/2000,330,70,390,14,NA,7,20,8,106,174.52,NA,NA,0,1.121367521,100
PV42320,B,3,PV42320B3,mother,11/17/1999,5/19/2000,9/15/2000,290,63,325,15,NA,5,14.5,6,85,144.94,NA,NA,0,1.110416667,100
PV42320,B,4,PV42320B4,mother,11/17/1999,5/21/2000,9/12/2000,320,80,400,15,NA,8,17,6,85,173.94,NA,NA,0,1.091666667,100
PV42320,C,1,PV42320C1,mother,11/17/1999,5/20/2000,9/12/2000,310,90,390,14,NA,7,19.5,7,NA,165,NA,NA,0,1.079040404,100
PV42320,C,2,PV42320C2,mother,11/17/1999,5/23/2000,9/12/2000,330,85,360,17,NA,8,19,7,103,164.37,NA,NA,0,1.030277778,100
PV42320,C,3,PV42320C3,mother,11/17/1999,7/24/2000,11/23/2000,315,72,395,12,NA,6,17,6,73,221.09,NA,NA,0,0.928921569,100
PV42320,C,4,PV42320C4,mother,11/17/1999,5/12/2000,8/29/2000,320,72,405,16,NA,7,19.5,7,107,163.3,NA,NA,0,1.041049383,100
PV42320,D,1,PV42320D1,mother,11/17/1999,7/16/2000,11/7/2000,305,65,360,14,NA,5,15,6,78,147.43,NA,NA,0,1.209313725,100
PV42320,D,2,PV42320D2,mother,11/17/1999,7/4/2000,10/27/2000,310,71,335,14,NA,6,23,8,113,183.27,NA,NA,0,1.047875817,100
PV42320,D,3,PV42320D3,mother,11/17/1999,5/24/2000,9/22/2000,320,69,360,16,NA,7,19,7,104,171.15,NA,NA,0,1.095454545,100
PV42320,D,4,PV42320D4,mother,11/17/1999,5/31/2000,9/27/2000,270,54,325,14,NA,5,12,6,70,151.71,NA,NA,0,0.980808081,100
PV42320,E,1,PV42320E1,mother,11/17/1999,8/5/2000,11/23/2000,360,77,355,15,NA,5,17.5,6,92,173.58,NA,NA,0,1.10530303,100
PV42320,E,2,PV42320E2,mother,11/17/1999,6/7/2000,10/13/2000,320,70,340,16,NA,6,21,8,108,182.4,NA,NA,0,1.040384615,100
PV42320,E,3,PV42320E3,mother,11/17/1999,9/1/2000,12/22/2000,360,74,345,14,NA,5,17.5,6,76,195.78,NA,NA,0,0.958343855,100
PV42320,E,4,PV42320E4,mother,11/17/1999,8/23/2000,12/22/2000,355,75,340,15,NA,5,21,7,79,237.72,NA,NA,0,1.081666667,100
SH3640,A,1,SH3640A1,mother,11/17/1999,8/5/2000,10/23/2000,280,74,170,11,NA,3,18,8,107,134.01,69.45833333,7.125,6,1.132004831,45.45454545
SH3640,A,2,SH3640A2,mother,11/17/1999,7/11/2000,9/25/2000,275,76,240,13,NA,3,18.5,9,126,131.5,72.6,7,7,1.105409357,46.15384615
SH3640,A,3,SH3640A3,mother,11/17/1999,5/29/2000,8/17/2000,255,76,180,16,NA,6,20.5,8,122,153.91,83.92307692,5.076923077,12,1.117361111,68.75
SH3640,A,4,SH3640A4,mother,11/17/1999,6/20/2000,9/5/2000,275,76,205,18,NA,5,21.5,10,136,141.72,77.27777778,6.666666667,8,1.159313725,38.88888889
SH3640,B,1,SH3640B1,mother,11/17/1999,6/20/2000,9/12/2000,260,79,200,16,NA,4,22,9,129,143.18,79.8,6.933333333,8,1.095555556,43.75
SH3640,B,2,SH3640B2,mother,11/17/1999,6/27/2000,9/14/2000,260,76,175,15,NA,5,19.5,9,128,135.27,77.875,7.3125,8,1.062847222,46.66666667
SH3640,B,3,SH3640B3,mother,11/17/1999,7/15/2000,10/2/2000,275,78,155,12,NA,4,19,8,116,151.72,67.5625,6.9375,7,0.962962963,50
SH3640,B,4,SH3640B4,mother,11/17/1999,6/28/2000,9/14/2000,260,74,175,17,NA,4,19.5,9,122,140.1,76.23529412,7.117647059,8,1.084548611,41.17647059
SH3640,C,1,SH3640C1,mother,11/17/1999,5/31/2000,8/24/2000,265,78,245,16,NA,5,24,9,132,160.69,90.53333333,5.733333333,16,1.105952381,93.75
SH3640,C,2,SH3640C2,mother,11/17/1999,6/24/2000,9/15/2000,280,85,225,15,NA,6,24.5,9,136,144.1,81.88888889,7.444444444,8,1.236764706,46.66666667
SH3640,C,3,SH3640C3,mother,11/17/1999,6/30/2000,9/18/2000,280,85,230,15,NA,7,23,9,146,144.58,75.25,7.95,7,1.229385965,40
SH3640,C,4,SH3640C4,mother,11/17/1999,6/8/2000,9/5/2000,280,88,255,18,NA,4,24.5,9,130,167.17,84.33333333,6.733333333,12,1.155357143,61.11111111
SH3640,D,1,SH3640D1,mother,11/17/1999,7/28/2000,10/16/2000,285,80,170,12,NA,4,23,9,120,153.83,73.4,7.5,7,1.010672515,50
SH3640,D,2,SH3640D2,mother,11/17/1999,7/4/2000,9/27/2000,275,85,185,14,NA,4,23,9,135,152.29,81.5,7.5,7,1.091830065,42.85714286
SH3640,D,3,SH3640D3,mother,11/17/1999,7/24/2000,10/9/2000,300,78,155,13,NA,5,19.5,8,116,149.82,75.90909091,8.363636364,8,1.126322751,53.84615385
SH3640,D,4,SH3640D4,mother,11/17/1999,6/20/2000,9/12/2000,255,83,225,17,NA,5,23,9,129,148.98,79.82352941,7.411764706,8,1.117708333,41.17647059
SH3640,E,1,SH3640E1,mother,11/17/1999,7/5/2000,9/20/2000,300,87,215,16,NA,7,24.5,10,153,138.4,83.66666667,7.666666667,7,1.033333333,37.5
SH3640,E,2,SH3640E2,mother,11/17/1999,6/3/2000,9/4/2000,290,84,235,16,NA,5,26.5,9,127,208.19,93.35714286,7.071428571,16,1.124358974,93.75
SH3640,E,3,SH3640E3,mother,11/17/1999,6/27/2000,9/14/2000,270,74,145,17,NA,6,22,9,130,150.27,84.77777778,7.888888889,7,1.089379085,35.29411765
SH3640,E,4,SH3640E4,mother,11/17/1999,6/4/2000,8/29/2000,280,75,170,17,NA,5,21.5,8,120,169.67,88.66666667,6.733333333,17,1.116666667,94.11764706
TMBx52951,A,1,TMBx52951A1,mother,11/17/1999,6/20/2000,8/29/2000,320,75,260,13,NA,3,18,8,107,152.5,90.53333333,8.133333333,11,1.139869281,76.92307692
TMBx52951,A,2,TMBx52951A2,mother,11/17/1999,6/21/2000,8/29/2000,305,73,245,13,NA,4,15,7,82,174.06,85.06666667,7.333333333,11,1.121354167,76.92307692
TMBx52951,A,3,TMBx52951A3,mother,11/17/1999,6/16/2000,8/29/2000,320,73,205,15,NA,6,15.5,8,122,153.91,86.57142857,7.928571429,13,1.169270833,80
TMBx52951,A,4,TMBx52951A4,mother,11/17/1999,7/4/2000,9/13/2000,330,70,195,10,NA,2,14.5,7,83,166.8,84.15,8.55,10,1.24973545,90
TMBx52951,B,1,TMBx52951B1,mother,11/17/1999,7/31/2000,10/23/2000,305,75,210,12,NA,0,18,7,90,183.5,79.44444444,7.944444444,10,1.06489899,75
TMBx52951,B,2,TMBx52951B2,mother,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMBx52951,B,3,TMBx52951B3,mother,11/17/1999,6/27/2000,9/7/2000,310,90,350,13,NA,2,18,7,88,177.67,84.84615385,7,10,1.053298611,69.23076923
TMBx52951,B,4,TMBx52951B4,mother,11/17/1999,7/6/2000,9/12/2000,310,85,210,13,NA,3,13.5,6,67,176.48,88.3125,8.1875,11,1.072222222,76.92307692
TMBx52951,C,1,TMBx52951C1,mother,11/17/1999,8/25/2000,11/7/2000,330,78,285,9,NA,0,19,8,93,190.1,71.85714286,9,8,1.175,77.77777778
TMBx52951,C,2,TMBx52951C2,mother,11/17/1999,8/6/2000,10/26/2000,335,78,260,11,NA,0,22,8,108,171.6,79.4375,8.75,8,1.079312865,63.63636364
TMBx52951,C,3,TMBx52951C3,mother,11/17/1999,6/7/2000,8/23/2000,300,70,28,16,NA,2,13.2,7,73,166.1,93,7.25,16,1.098076923,93.75
