Cultivar,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Pseudostem girth at 1m (cm) (harvest),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g)
SH3640,1,01/02/2003,31/12/2003,31/03/2004,210,140,9,50,4,13.5,6,160,75
SH3640,2,01/02/2003,16/02/2004,19/05/2004,200,170,8,55,3,13,7,140,83
SH3640,3,01/02/2003,31/12/2003,03/04/2004,225,155,9,56,4,15,7,145,95
SH3640,4,01/02/2003,05/02/2004,09/05/2004,230,160,9,62,4,16,7,170,86
SH3640,5,01/02/2003,19/12/2003,20/03/2004,233,130,8,53,3,13,10,120,126
SH3640,6,01/02/2003,21/01/2004,20/04/2004,245,173,8,52,2,15.8,7,155,97
SH3640,7,01/02/2003,22/01/2004,22/04/2004,264,164,8,55,3,13,7,128,94
SH3640,8,01/02/2003,05/01/2004,06/04/2004,215,156,10,53,3,16.5,10,140,119
SH3640,9,01/02/2003,07/02/2004,11/05/2004,215,160,8,76,3,16,7,185,86
SH3640,10,01/02/2003,28/12/2003,27/03/2004,235,158,9,56,4,17.5,8,175,95
SH3640,11,01/02/2003,08/02/2004,11/05/2004,228,145,9,60,4,13.5,7,135,96
SH3640,12,01/02/2003,14/01/2004,19/04/2004,227,165,8,57,4,15.5,8,150,97
FHIA25,1,01/02/2003,21/10/2003,08/02/2004,295,202,8,82,4,25,10,160,170
FHIA25,2,01/02/2003,11/10/2003,08/02/2004,280,210,8,87,4,22.5,10,155,173
FHIA25,3,01/02/2003,30/10/2003,08/02/2004,286,195,8,90,4,24.5,11,165,165
FHIA25,4,01/02/2003,25/11/2003,01/03/2004,260,178,8,90,4,41,13,180,239
FHIA25,5,01/02/2003,11/10/2003,08/02/2004,275,180,8,84,3,40,13,170,224
FHIA25,6,01/02/2003,24/10/2003,21/02/2004,265,225,9,95,3,45,13,180,220
FHIA25,8,01/02/2003,23/10/2003,10/02/2004,281,212,8,92,4,24,11,160,162
FHIA25,9,01/02/2003,19/10/2003,05/02/2004,255,205,8,89,4,41,13,165,239
FHIA25,10,01/02/2003,21/10/2003,08/02/2004,264,190,9,90,4,41,13,160,242
FHIA25,11,01/02/2003,19/10/2003,11/02/2004,275,220,9,85,3,30,12,155,200
FHIA25,12,01/02/2003,19/10/2003,13/02/2004,275,210,9,85,3,31,12,160,202
BITA2,1,01/02/2003,01/02/2004,18/05/2004,282,240,8,59,3,8.1,5,105,68
BITA2,2,01/02/2003,27/01/2004,16/05/2004,275,280,8,65,3,8.5,6,95,75
BITA2,3,01/02/2003,05/02/2004,29/05/2004,270,273,8,70,3,9,5,120,66
BITA2,4,01/02/2003,05/02/2004,26/05/2004,253,274,9,73,3,15,7,125,95
BITA2,5,01/02/2003,12/01/2004,25/05/2004,262,274,9,70,4,10,6,102,89
