Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
PisangJariBuaya,1,6,8/22/2002,8/28/2003,11/21/2003,330,38,366,11,9,147,61.2,109.1,68.6,79.6333333333333,13.1,10.9,12,13.9,12.4,13.15,13,5,0,0,1,1,1,1,1
PisangJariBuaya,2,38,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
PisangJariBuaya,3,39,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
PisangJariBuaya,4,90,8/22/2002,7/9/2003,10/10/2003,270,37,218,9,7,122,59,107.9,91,85.9666666666667,18.9,14.2,16.55,11,9,10,13,6,0,0,1,1,1,1,1
PisangJariBuaya,5,114,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1
PisangJariBuaya,6,192,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1
PisangJariBuaya,7,200,8/22/2002,6/25/2003,9/4/2003,276,37,260,14.2,7,109,117.4,107.9,97.6,107.633333333333,19.4,19.1,19.25,10.2,10.4,10.3,15,3,0,0,1,1,1,1,1
PisangJariBuaya,8,284,8/22/2002,6/8/2003,10/30/2003,314,37,170,6.5,9,132,38.6,81.3,60.3,60.0666666666667,16.5,14.8,15.65,10.1,9.2,9.65,11,3,0,0,1,1,1,1,1
PisangJariBuaya,9,325,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,1,1,1,1,1
PisangJariBuaya,10,353,8/22/2002,4/9/2003,11/21/2003,320,39.5,295,10,9,145,55.2,67.6,48.2,57,16.5,14.5,15.5,9,8.6,8.8,10,3,0,0,1,1,1,1,1
FHIA02,1,2,8/22/2002,5/20/2003,9/4/2003,209,42,194,12.8,7,92,117.4,124.6,85.6,109.2,17,13.5,15.25,12.6,12,12.3,15,8,0,0,1,1,1,1,1
FHIA02,2,18,8/22/2002,4/11/2003,7/25/2003,196,39,229,11.2,8,95,109.5,120.1,89,106.2,16.5,13.5,15,12.3,11.9,12.1,13,10,0,0,1,1,1,1,1
FHIA02,3,64,8/22/2002,5/8/2003,8/13/2003,221,42,227,15.2,9,120,111.7,135.6,97.3,114.866666666667,18.3,14.3,16.3,12.8,12.4,12.6,13,9,0,0,1,1,1,1,1
FHIA02,4,69,8/22/2002,9/12/2003,1/12/2004,266,41,125,8.2,7,82,87.8,110,94.2,97.3333333333333,16.5,15,15.75,12.2,11.9,12.05,11,6,0,0,1,1,1,1,1
