Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits,Number of functional leaves (shooting),Number of functional leaves (harvest),Scale of vascular discolouration in the corm
FHIA17,1,1,2/21/2002,7/13/2003,1/8/2004,335,78.5,220,44,15,250,15,9,1
FHIA17,1,2,2/21/2002,7/10/2003,2/8/2004,330,75,185,70,15,242,15,9,1
FHIA17,1,3,2/21/2002,10/9/2003,4/24/2004,310,72,175,46,15,227,13,9,1
FHIA17,1,4,2/21/2002,9/1/2003,4/9/2004,305,77.5,180,56,15,245,13,11,1
FHIA17,1,5,2/21/2002,7/21/2003,3/1/2004,330,76,158,47,14,241,14,8,1
FHIA17,1,6,2/21/2002,8/26/2003,3/21/2004,305,71,175,33,14,216,14,9,1
FHIA17,2,1,2/21/2002,6/23/2003,12/23/2003,310,75,205,38,13,198,19,10,1
FHIA17,2,2,2/21/2002,9/10/2003,3/16/2004,320,74,175,46,15,239,13,12,1
FHIA17,2,3,2/21/2002,9/8/2003,5/3/2004,300,75,150,55,15,232,13,8,1
FHIA17,2,4,2/21/2002,6/13/2003,12/23/2003,320,77,225,42,12,224,19,9,1
FHIA17,2,5,2/21/2002,6/24/2003,12/15/2003,280,63,225,17.5,13,160,14,6,1
FHIA17,2,6,2/21/2002,5/12/2003,11/19/2003,330,81,170,60,13,213,18,10,1
FHIA17,3,1,2/21/2002,6/1/2003,12/23/2003,340,77.5,120,55,14,242,18,9,1
FHIA17,3,2,2/21/2002,6/7/2003,12/14/2003,350,75.5,220,38,15,224,18,10,1
FHIA17,3,3,2/21/2002,7/1/2003,NA,320,75,180,NA,15,NA,17,10,1
FHIA17,3,4,2/21/2002,4/27/2003,11/5/2003,320,79,180,50,15,220,17,8,1
FHIA17,3,5,2/21/2002,5/21/2003,12/16/2003,325,78.5,172,45,13,203,20,8,1
FHIA17,3,6,2/21/2002,5/23/2003,12/23/2003,325,77.5,197,46.5,14,215,17,8,1
FHIA17,4,1,2/21/2002,6/24/2003,11/24/2003,385,89,168,42,17,236,15,9,1
FHIA17,4,2,2/21/2002,7/19/2003,1/26/2004,370,86,177,61,17,305,14,9,1
FHIA17,4,3,2/21/2002,7/10/2003,1/6/2004,360,82,155,53,17,283,14,9,1
FHIA17,4,4,2/21/2002,5/28/2003,12/24/2003,350,84,145,46,15,220,15,9,1
FHIA17,4,5,2/21/2002,6/1/2003,12/24/2003,350,78.5,175,NA,15,233,14,8,1
FHIA17,4,6,2/21/2002,5/30/2003,12/4/2003,360,82,100,41,15,214,15,7,1
FHIA17,5,1,2/21/2002,7/3/2003,1/26/2004,330,78.5,200,29,13,220,14,6,1
FHIA17,5,2,2/21/2002,10/17/2003,5/25/2004,290,72,165,44,16,226,12,10,1
FHIA17,5,3,2/21/2002,7/17/2003,2/19/2004,320,74,210,51,16,263,13,7,1
FHIA17,5,4,2/21/2002,7/11/2003,2/14/2004,305,73,175,42.5,15,236,13,8,1
FHIA17,5,5,2/21/2002,12/14/2003,6/27/2004,290,69,165,35,15,205,16,7,1
FHIA17,5,6,2/21/2002,8/3/2003,2/23/2004,310,73,190,37,14,238,12,7,1
FHIA18,1,1,2/21/2002,7/1/2003,12/31/2003,260,53.5,175,23,13,160,16,11,1
FHIA18,1,2,2/21/2002,6/11/2003,11/24/2003,270,61,145,20,11,168,19,10,1
FHIA18,1,3,2/21/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA18,1,4,2/21/2002,6/4/2003,12/15/2003,255,54,160,19.5,10,142,17,9,1
FHIA18,1,5,2/21/2002,6/9/2003,12/15/2003,270,53,175,13.5,9,130,15,7,1
FHIA18,1,6,2/21/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA18,2,1,2/21/2002,5/28/2003,NA,320,65,20,NA,NA,NA,NA,NA,1
FHIA18,2,2,2/21/2002,5/7/2003,11/13/2003,305,63.5,185,25.5,12,200,19,10,1
