Cultivar,Block,Plant,Mat ID,Plant cycle,date_planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Number of functional leaves (harvest)
 FHIA01,A,1, FHIA01A1,ratoon,4/14/2004,NA,9/23/2004,330,84,35,9,160,7
 FHIA01,A,2, FHIA01A2,ratoon,2/21/2004,NA,9/26/2004,325,70,21,9,132,7
 FHIA01,A,3, FHIA01A3,ratoon,3/10/2004,NA,11/14/2004,280,62,23,9,119,4
 FHIA01,A,4, FHIA01A4,ratoon,2/24/2004,NA,7/21/2005,250,64,18,6,73,4
 FHIA01,A,5, FHIA01A5,ratoon,2/12/2004,NA,10/16/2004,320,72,34,7,107,5
 FHIA01,B,1, FHIA01B1,ratoon,5/30/2004,NA,5/8/2005,249,55,20,7,98,9
 FHIA01,B,2, FHIA01B2,ratoon,3/10/2004,NA,11/14/2004,334,75,34,10,150,7
 FHIA01,B,3, FHIA01B3,ratoon,4/13/2004,NA,12/8/2004,340,77,28,10,148,5
 FHIA01,B,4, FHIA01B4,ratoon,3/17/2004,NA,7/4/2004,270,62,30,10,136,9
 FHIA01,B,5, FHIA01B5,ratoon,3/10/2004,NA,8/12/2004,270,62,19,8,106,3
 FHIA01,C,1, FHIA01C1,ratoon,2/29/2004,NA,10/9/2004,290,66,25,9,115,5
 FHIA01,C,2, FHIA01C2,ratoon,3/21/2004,NA,8/22/2004,280,66,27,9,122,9
 FHIA01,C,3, FHIA01C3,ratoon,3/21/2004,NA,7/20/2005,290,59,20,8,96,7
 FHIA01,C,4, FHIA01C4,ratoon,2/4/2004,NA,1/8/2005,338,76,24,10,146,7
 FHIA01,C,5, FHIA01C5,ratoon,1/17/2004,NA,6/19/2004,264,67,28,10,142,6
 FHIA01,D,1, FHIA01D1,ratoon,4/14/2004,NA,5/27/2005,300,70,23,10,136,8
 FHIA01,D,2, FHIA01D2,ratoon,3/20/2004,NA,7/24/2004,290,70,29,10,158,5
 FHIA01,D,3, FHIA01D3,ratoon,4/22/2004,NA,11/22/2004,360,86,48,10,151,9
 FHIA01,D,4, FHIA01D4,ratoon,3/17/2004,NA,12/26/2004,352,80,39,11,194,10
 FHIA01,D,5, FHIA01D5,ratoon,NA,NA,NA,370,86,41,12,193,12
 FHIA03,A,1, FHIA03A1,ratoon,11/5/2003,NA,7/9/2004,330,71,24,7,96,8
 FHIA03,A,2, FHIA03A2,ratoon,3/26/2004,NA,2/15/2005,250,44,6,2,26,6
 FHIA03,A,3, FHIA03A3,ratoon,11/5/2003,NA,4/29/2004,300,57,18,6,76,6
 FHIA03,A,4, FHIA03A4,ratoon,11/4/2003,NA,5/21/2004,270,34,20,8,108,9
 FHIA03,A,5, FHIA03A5,ratoon,6/22/2003,NA,NA,220,47,11,6,74,7
 FHIA03,B,1, FHIA03B1,ratoon,3/27/2004,NA,NA,350,65,NA,NA,NA,NA
 FHIA03,B,2, FHIA03B2,ratoon,1/11/2004,NA,10/25/2004,340,69,24,7,95,9
 FHIA03,B,3, FHIA03B3,ratoon,9/24/2003,NA,6/11/2004,340,71,21,8,113,7
 FHIA03,B,4, FHIA03B4,ratoon,3/10/2004,NA,1/29/2005,320,59,17,7,96,7
 FHIA03,B,5, FHIA03B5,ratoon,11/5/2003,NA,6/20/2004,330,68,21,9,124,5
 FHIA03,C,1, FHIA03C1,ratoon,NA,NA,NA,330,68,22,9,121,8
 FHIA03,C,2, FHIA03C2,ratoon,5/11/2004,NA,NA,290,81,NA,NA,NA,NA
 FHIA03,C,3, FHIA03C3,ratoon,12/7/2003,NA,7/21/2004,287,55,18,6,85,5
 FHIA03,C,4, FHIA03C4,ratoon,6/21/2004,NA,NA,244,48,12,7,80,9
 FHIA03,C,5, FHIA03C5,ratoon,12/7/2003,NA,10/28/2004,350,73,30,8,131,9
 FHIA03,D,1, FHIA03D1,ratoon,11/5/2003,NA,NA,374,79,NA,NA,NA,NA
 FHIA03,D,2, FHIA03D2,ratoon,2/10/2004,NA,6/29/2004,293,50,13,6,74,10
 FHIA03,D,3, FHIA03D3,ratoon,1/8/2004,NA,1/23/2005,360,57,13,7,96,7
 FHIA03,D,4, FHIA03D4,ratoon,12/24/2003,NA,1/13/2005,380,80,23,7,117,7
 FHIA03,D,5, FHIA03D5,ratoon,12/18/2003,NA,9/18/2004,330,69,17,6,111,4
 FHIA23,A,1, FHIA23A1,ratoon,5/27/2004,NA,2/27/2005,280,62,11,8,115,6
 FHIA23,A,2, FHIA23A2,ratoon,9/5/2004,NA,1/13/2005,260,68,12,9,118,2
 FHIA23,A,3, FHIA23A3,ratoon,5/1/2004,NA,6/26/2005,225,60,10,8,84,5
