cultivar,block,plant_number,date_planted,date_flowering,date_harvest,Time from planting to shooting (days),Time from planting to harvest = Plant crop cycle (days),Time from shooting to harvest (days),Height of pseudostem at shooting (cm),Girth of pseudostem at shooting (cm),Height of following sucker at shooting (cm),Number of functional leaves at shooting,Height of pseudostem at harvest (cm),Girth of pseudostem at harvest (cm),Height of following sucker at harvest (cm),Number of functional leaves at harvest,bunch weight (kg),Number of hands in bunch,Number of fruits in bunch,Weight of hand CALC [R/S] (kg),Weight of fruit CALC [R/T] (g)
BAXIJIAO,1,6,17/08/2002,13/07/2003,,330.3,,,,,,14,,,,,,,,,
BAXIJIAO,2,3,17/08/2002,17/07/2003,,334,,,,,,13.6,,,,,,,,,
BAXIJIAO,3,3,17/08/2002,19/07/2003,,336.3,,,,,,13.6,,,,,,,,,
FHIA-02,1,5,17/08/2002,24/07/2003,,341,,,,,,14.4,,,,,,,,,
FHIA-02,2,4,17/08/2002,3/9/2003,15/01/2004,382.5,516,133.5,,,,13.5,,,,6.5,,6,80,,
FHIA-02,3,4,17/08/2002,19/08/2003,,367.5,,,,,,13,,,,,,,,,
FHIA-03,1,3,17/08/2002,14/07/2003,2/12/2003,331.3,472,140.7,256.5,,,12.7,,,,8,55,6,88,9.2,625
FHIA-03,2,4,17/08/2002,3/6/2003,8/9/2003,290.5,387,96.5,,,,12.8,,,,10,17.8,,,,
FHIA-03,3,5,17/08/2002,5/7/2003,20/06/2003,322.4,307,,,,,13,,,,10,,,,,
Williams,1,2,17/08/2002,4/7/2003,,321,,,,,,13.5,,,,,,,,,
Williams,2,4,17/08/2002,15/07/2003,,332,,,,,,14,,,,,,,,,
Williams,3,6,17/08/2002,29/06/2003,,316.2,,,,,,14.2,,,,,,,,,
Cultivar Rose,1,4,17/08/2002,6/6/2003,15/01/2004,293.3,516,222.7,205.3,,,9.3,,,,5.3,,8.7,116,,
Cultivar Rose,2,,17/08/2002,,,,,,,,,,,,,,,,,,
Cultivar Rose,3,4,17/08/2002,17/07/2003,,334.8,,,,,,12,,,,,,,,,
Gros Michel,1,,17/08/2002,,,,,,,,,,,,,,,,,,
Gros Michel,2,,17/08/2002,,,,,,,,,,,,,,,,,,
Gros Michel,3,,17/08/2002,,,,,,,,,,,,,,,,,,
Yangambi km 5,1,,17/08/2002,,,,,,,,,,,,,,,,,,
Yangambi km 5,2,,17/08/2002,,,,,,,,,,,,,,,,,,
Yangambi km 5,3,,17/08/2002,,,,,,,,,,,,,,,,,,
FHIA-17,1,1,17/08/2002,3/8/2003,,351,,,,,,14,,,,,,,,,
FHIA-17,2,,17/08/2002,,,,,,,,,,,,,,,,,,
FHIA-17,3,3,17/08/2002,29/08/2003,,377,,,,,,14,,,,,,,,,
FHIA-23,1,,17/08/2002,,,,,,,,,,,,,,,,,,
FHIA-23,2,,17/08/2002,,,,,,,,,,,,,,,,,,
FHIA-23,3,,17/08/2002,15/09/2003,,394,,,,,,13,,,,,,,,,
GCTCV-119,1,6,17/08/2002,27/09/2003,9/1/2004,406.5,510,103.5,227.8,,,14,,,,6.2,13.9,6.4,99.4,2.2,139.8
GCTCV-119,2,,17/08/2002,,,,,,,,,,,,,,,,,,
GCTCV-119,3,1,17/08/2002,10/9/2003,,389,,,,,,13,,,,,,,,,
SH-3436-9,1,3,17/08/2002,15/09/2003,17/12/2003,394,487,93,270.3,,,12,,,,2.3,6.1,9.3,158,0.7,38.6
SH-3436-9,2,1,17/08/2002,5/9/2003,,384,,,,,,13,,,,,,,,,
SH-3436-9,3,1,17/08/2002,29/09/2003,15/01/2004,408,516,108,,,,12,,,,2,,8,153,,
BITA-3,1,,17/08/2002,,,,,,,,,,,,,,,,,,
BITA-3,2,3,17/08/2002,23/08/2003,,371,,,,,,13.3,,,,,,,,,
BITA-3,3,1,17/08/2002,15/09/2003,15/01/2004,394,516,122,312.5,,,12,,,,4.5,,6,70,,
SH-3640,1,1,17/08/2002,15/07/2003,8/9/2003,332,387,55,,,,16,,,,,18,9,131,2,137.4
SH-3640,2,5,17/08/2002,4/8/2003,16/12/2003,352,486,134,250,,,14.4,,,,4,6.5,7,93,0.9,69.9
SH-3640,3,3,17/08/2002,15/07/2003,4/10/2003,332.7,413,80.3,,,,13.3,,,,10,,,,,
FHIA-18,1,2,17/08/2002,3/8/2003,,351,,,,,,13,,,,,,,,,
FHIA-18,2,1,17/08/2002,9/7/2003,,326,,,,,,14,,,,,,,,,
FHIA-18,3,3,17/08/2002,1/8/2003,,349,,,,,,13,,,,,,,,,
FHIA-21,1,5,17/08/2002,4/8/2003,,352.4,,,,,,12,,,,,,,,,
FHIA-21,2,3,17/08/2002,28/08/2003,15/01/2004,376.4,516,139.6,281,,,13,,,,8,,6,61,,
FHIA-21,3,4,17/08/2002,20/07/2003,8/9/2003,337.5,387,49.5,,,,,,,,,,7,81,,
CRBP-39,1,,17/08/2002,,17/12/2003,,487,,308,,,,,,,4,5.8,12,169,0.5,34.3
CRBP-39,2,5,17/08/2002,19/06/2003,15/01/2004,306.6,516,209.4,210.7,,,11,,,,5.7,,8.7,118,,
CRBP-39,3,,17/08/2002,,,,,,,,,,,,,,,,,,
