Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
PITA16,A,1,PITA16A1,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,2,PITA16A2,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,3,PITA16A3,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,4,PITA16A4,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,5,PITA16A5,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,6,PITA16A6,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,7,PITA16A7,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,8,PITA16A8,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,9,PITA16A9,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,A,10,PITA16A10,ratoon,NA,NA,NA,498,109.8,NA,30.75,11.66666667,NA,2.96,7,4.5,NA,NA,
PITA16,B,1,PITA16B1,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,2,PITA16B2,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,3,PITA16B3,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,4,PITA16B4,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,5,PITA16B5,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,6,PITA16B6,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,7,PITA16B7,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,8,PITA16B8,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,9,PITA16B9,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,B,10,PITA16B10,ratoon,NA,NA,NA,NA,NA,NA,43.2,12,NA,3.41,NA,2,NA,NA,
PITA16,C,1,PITA16C1,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,2,PITA16C2,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,3,PITA16C3,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,4,PITA16C4,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,5,PITA16C5,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,6,PITA16C6,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,7,PITA16C7,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,8,PITA16C8,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,9,PITA16C9,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,C,10,PITA16C10,ratoon,NA,NA,NA,468,113.4,NA,30.3,9.8,NA,2.96,6.7,5.333333333,NA,NA,
PITA16,D,1,PITA16D1,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,2,PITA16D2,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,3,PITA16D3,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,4,PITA16D4,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,5,PITA16D5,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,6,PITA16D6,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,7,PITA16D7,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,8,PITA16D8,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,9,PITA16D9,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
PITA16,D,10,PITA16D10,ratoon,NA,NA,NA,NA,NA,NA,37.9,11,NA,3.37,NA,5,NA,NA,
FHIA17,A,1,FHIA17A1,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
FHIA17,A,2,FHIA17A2,ratoon,NA,NA,NA,NA,NA,NA,55.17708333,16,NA,3.604375,NA,7.666666667,NA,NA,
