Cultivar,Block,Plant pooled by block,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in hand,Weight of hand (kg),Number of functional leaves (shooting),Number of functional leaves (harvest)
PisangJariBuaya,1,10-Jan,mother,4/10/2002,12/27/2002,3/23/2003,379.5,52,8.4,6,18.33333333,1.4,14,9
PisangJariBuaya,2,10-Jan,mother,4/10/2002,12/27/2002,3/23/2003,359,51.55,NA,NA,NA,NA,12,8.5
PisangJariBuaya,3,10-Jan,mother,4/10/2002,NA,4/7/2003,NA,NA,NA,NA,NA,NA,NA,7
PisangJariBuaya,4,10-Jan,mother,4/10/2002,12/21/2002,4/7/2003,359,51.55,NA,NA,NA,NA,12,6.5
PisangJariBuaya,5,10-Jan,mother,4/10/2002,12/21/2002,3/23/2003,337,48.6,17.625,8.5,18.76470588,1.861764706,15,8.5
PisangJariBuaya,6,10-Jan,mother,4/10/2002,12/21/2002,3/23/2003,388,52.05,16.45,9.666666667,19.13793103,1.493103448,13.5,6.5
PisangJariBuaya,7,10-Jan,mother,4/10/2002,12/6/2002,3/23/2003,362.5,50.65,19.25,10,19,1.685,10,7.5
PisangJariBuaya,8,10-Jan,mother,4/10/2002,12/13/2002,3/23/2003,NA,50.8,NA,NA,NA,NA,14,8
FHIA01,1,10-Jan,mother,4/10/2002,11/15/2002,3/17/2003,296.5,68.9,28.56666667,7.666666667,14.56521739,3.376086957,14,8.5
FHIA01,2,10-Jan,mother,4/10/2002,11/6/2002,3/17/2003,296.5,68.9,32.7125,8,14.53125,3.690625,15,9.5
FHIA01,3,10-Jan,mother,4/10/2002,11/6/2002,3/17/2003,289.6666667,67.63333333,40.45,8.333333333,15.50869565,4.852173913,15.66666667,9
FHIA01,4,10-Jan,mother,4/10/2002,12/13/2002,4/7/2003,284,65,32.975,8.5,16.41176471,3.505882353,14,8.5
FHIA01,5,10-Jan,mother,4/10/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,6,10-Jan,mother,4/10/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,7,10-Jan,mother,4/10/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,8,10-Jan,mother,4/10/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA02,1,10-Jan,mother,4/10/2002,9/18/2002,1/12/2003,246.5,51.5,NA,NA,NA,NA,13.5,7.5
FHIA02,2,10-Jan,mother,4/10/2002,9/18/2002,1/27/2003,229,55,NA,NA,NA,NA,14,7
FHIA02,3,10-Jan,mother,4/10/2002,9/25/2002,1/27/2003,308,55.5,17.665,7.5,13.87,2.030333333,14,7
FHIA02,4,10-Jan,mother,4/10/2002,9/25/2002,1/27/2003,247,57,NA,NA,NA,NA,13,7
FHIA02,5,10-Jan,mother,4/10/2002,9/25/2002,1/21/2003,241.5,51,12.95,7,14.28571429,1.560714286,14.5,8.5
FHIA02,6,10-Jan,mother,4/10/2002,10/30/2002,1/27/2003,265,57.5,13.45,7.5,15.4,1.563333333,13,5.5
FHIA02,7,10-Jan,mother,4/10/2002,9/18/2002,1/21/2003,240.5,50.15,NA,NA,NA,NA,15.5,7.5
FHIA02,8,10-Jan,mother,4/10/2002,10/10/2002,1/21/2003,260,54.6,15.93333333,7.333333333,15.54545455,1.9,16,8.5
FHIA03,1,10-Jan,mother,4/10/2002,11/6/2002,3/2/2003,306.6666667,74,31.1,9.666666667,18.79310345,2.851724138,15.66666667,9.5
FHIA03,2,10-Jan,mother,4/10/2002,11/15/2002,3/2/2003,311.5,74.2,NA,NA,NA,NA,15,9.5
FHIA03,3,10-Jan,mother,4/10/2002,11/15/2002,3/2/2003,297,74.33333333,26.175,9.5,18.57894737,2.410526316,13.66666667,8.5
FHIA03,4,10-Jan,mother,4/10/2002,11/29/2002,3/2/2003,311.5,77.1,30.83333333,9.666666667,19.44827586,2.725862069,15,9
