Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of hands,Number of functional leaves (shooting),Number of Meloidogyne spp. per 30 g fresh root (harvest),Number of Helicotylenchus multicinctus per 30 g fresh root (harvest),Number of Pratylenchus coffea per 30 g fresh root (harvest),Number of Radopholus similis per 30 g fresh root (harvest)
Bluggoe,A,17,BluggoeA17,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,A,31,BluggoeA31,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,A,49,BluggoeA49,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,B,7,BluggoeB7,ratoon2,NA,NA,NA,378,69,11.3,7,13,33.33333333,0,0,0
Bluggoe,B,15,BluggoeB15,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,B,31,BluggoeB31,ratoon2,NA,NA,NA,280,54,20.1,8,8,NA,NA,NA,NA
Bluggoe,B,58,BluggoeB58,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,C,11,BluggoeC11,ratoon2,NA,NA,NA,360,69,NA,NA,10,26.66666667,0,33.33333333,0
Bluggoe,C,48,BluggoeC48,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,C,49,BluggoeC49,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,D,2,BluggoeD2,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,D,20,BluggoeD20,ratoon2,NA,NA,NA,272,67,NA,NA,7,NA,NA,NA,NA
Bluggoe,D,42,BluggoeD42,ratoon2,NA,NA,NA,328,68,12.5,6,12,NA,NA,NA,NA
Bluggoe,D,71,BluggoeD71,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,E,27,BluggoeE27,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,E,38,BluggoeE38,ratoon2,NA,NA,NA,360,78,13.7,8,10,NA,NA,NA,NA
Bluggoe,E,52,BluggoeE52,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,F,40,BluggoeF40,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,F,62,BluggoeF62,ratoon2,NA,NA,NA,396,75,12.5,7,13,NA,NA,NA,NA
Bluggoe,F,70,BluggoeF70,ratoon2,NA,NA,NA,397,72,12.4,5,12,NA,NA,NA,NA
Bluggoe,G,35,BluggoeG35,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bluggoe,G,62,BluggoeG62,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,A,1,DucasseA1,ratoon2,NA,NA,NA,457,90,15.4,9,15,80,0,0,0
Ducasse,A,18,DucasseA18,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,1816.666667,0,35.66666667,0
Ducasse,A,22,DucasseA22,ratoon2,NA,NA,NA,395,98,NA,NA,14,51.66666667,0,0,0
Ducasse,A,51,DucasseA51,ratoon2,NA,NA,NA,322,80,13.3,10,12,NA,NA,NA,NA
Ducasse,B,11,DucasseB11,ratoon2,NA,NA,NA,398,86,12.7,10,10,NA,NA,NA,NA
Ducasse,B,32,DucasseB32,ratoon2,NA,NA,NA,385,96,21,10,15,46.66666667,0,13.33333333,0
Ducasse,B,45,DucasseB45,ratoon2,NA,NA,NA,305,78,NA,NA,14,NA,NA,NA,NA
Ducasse,C,5,DucasseC5,ratoon2,NA,NA,NA,415,96,22.2,11,14,NA,NA,NA,NA
Ducasse,C,22,DucasseC22,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,C,66,DucasseC66,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,D,7,DucasseD7,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,D,24,DucasseD24,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,D,48,DucasseD48,ratoon2,NA,NA,NA,393,50,NA,NA,10,70,0,0,0
Ducasse,D,65,DucasseD65,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0
Ducasse,E,17,DucasseE17,ratoon2,NA,NA,NA,380,85,13.4,10,10,NA,NA,NA,NA
Ducasse,E,47,DucasseE47,ratoon2,NA,NA,NA,394,91,23.2,11,12,53.33333333,0,50,0
Ducasse,E,58,DucasseE58,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ducasse,F,54,DucasseF54,ratoon2,NA,NA,NA,405,89,17.3,12,13,10,NA,115,NA
Ducasse,F,66,DucasseF66,ratoon2,NA,NA,NA,413,95,25.6,12,14,80,0,21.66666667,0
Ducasse,G,34,DucasseG34,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,63.33333333,0,1.666666667,0
Ducasse,G,66,DucasseG66,ratoon2,NA,NA,NA,517,104,16.9,10,14,150,93.33333333,0,0
Ducasse,G,73,DucasseG73,ratoon2,NA,NA,NA,350,75,NA,NA,10,NA,NA,NA,NA
FHIA01,A,4,FHIA01A4,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,A,20,FHIA01A20,ratoon2,NA,NA,NA,352,104,NA,NA,12,NA,NA,NA,NA
FHIA01,A,33,FHIA01A33,ratoon2,NA,NA,NA,NA,NA,NA,NA,NA,54.66666667,11.33333333,0,0
FHIA01,A,45,FHIA01A45,ratoon2,NA,NA,NA,240,66,8.4,7,10,NA,NA,NA,NA
FHIA01,B,16,FHIA01B16,ratoon2,NA,NA,NA,368,114,NA,NA,11,NA,NA,NA,NA
FHIA01,B,36,FHIA01B36,ratoon2,NA,NA,NA,369,113,NA,NA,12,NA,NA,NA,NA
FHIA01,C,9,FHIA01C9,ratoon2,NA,NA,NA,373,118,45,13,12,NA,NA,NA,NA
