Cultivar,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Crop cycle (days),Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of fruits in hand,Weight of fruit (g),Number of functional leaves (shooting)
YangambiKm5,1,YangambiKm51,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,2,YangambiKm52,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,3,YangambiKm53,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,4,YangambiKm54,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,5,YangambiKm55,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,6,YangambiKm56,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,7,YangambiKm57,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,8,YangambiKm58,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,9,YangambiKm59,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,10,YangambiKm510,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
PITA16,1,PITA161,mother,17/08/2002,1/9/2003,NA,104,45.5,8.7,19,64.5,8
PITA16,2,PITA162,mother,17/08/2002,1/9/2003,NA,107.5,44.5,9.2,19,63,7
PITA16,3,PITA163,mother,17/08/2002,5/9/2003,NA,114,45,8,18,63,8
PITA16,4,PITA164,mother,17/08/2002,5/9/2003,NA,115,45.5,8.1,17,62.5,7
PITA16,5,PITA165,mother,17/08/2002,27/08/2003,NA,118,45,7.7,16,63.5,7
PITA16,6,PITA166,mother,17/08/2002,26/08/2003,NA,104,44.5,9,16,64.5,7
PITA16,7,PITA167,mother,17/08/2002,26/08/2003,NA,118,43,9.3,16,64,7
PITA16,8,PITA168,mother,17/08/2002,1/9/2003,NA,114.5,44.5,8.3,15,64,7
PITA16,9,PITA169,mother,17/08/2002,6/9/2003,NA,116.5,42.5,7.9,15,63,7
PITA16,10,PITA1610,mother,17/08/2002,3/9/2003,NA,115,45,8.8,14,63,7
