Cultivar,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in hand,Weight fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest)
Cachaco,1,Cachaco1,ratoon,NA,NA,NA,100,38.5,5.7,5,15,83,7,7
Cachaco,2,Cachaco2,ratoon,NA,NA,NA,96,41,6,5,16,82.5,7,7
Cachaco,3,Cachaco3,ratoon,NA,NA,NA,103,40,5.4,5,14,84.5,8,7
Cachaco,4,Cachaco4,ratoon,NA,NA,NA,99,42.5,5.9,5,13,82,8,7
Cachaco,5,Cachaco5,ratoon,NA,NA,NA,107,38,6.2,5,13,83.5,8,7
Cachaco,6,Cachaco6,ratoon,NA,NA,NA,104,40,5.8,5,16,83,8,6
Cachaco,7,Cachaco7,ratoon,NA,NA,NA,89,42,6.7,5,17,84,8,7
Cachaco,8,Cachaco8,ratoon,NA,NA,NA,100,41,7,6,15,83.5,8,7
Cachaco,9,Cachaco9,ratoon,NA,NA,NA,105,40,6.3,5,14,82.5,8,7
Cachaco,10,Cachaco10,ratoon,NA,NA,NA,102,42,6,5,13,82.5,8,7
PisangMas,1,PisangMas1,ratoon,NA,NA,NA,135,53,9.2,9,18,60,10,8
PisangMas,2,PisangMas2,ratoon,NA,NA,NA,139,53,10.5,10,19,60,11,8
PisangMas,3,PisangMas3,ratoon,NA,NA,NA,142,56,12,10,16,61.5,10,8
PisangMas,4,PisangMas4,ratoon,NA,NA,NA,137,58,11.5,10,17,61,10,8
PisangMas,5,PisangMas5,ratoon,NA,NA,NA,138,55,9.9,10,19,59,10,9
PisangMas,6,PisangMas6,ratoon,NA,NA,NA,137,57,11.4,11,19,59,11,8
PisangMas,7,PisangMas7,ratoon,NA,NA,NA,143,55.5,11,12,17,60.5,10,8
PisangMas,8,PisangMas8,ratoon,NA,NA,NA,132,56,9.4,10,16,61,10,9
PisangMas,9,PisangMas9,ratoon,NA,NA,NA,144,53.5,10.8,10,16,60,11,8
PisangMas,10,PisangMas10,ratoon,NA,NA,NA,138,54,10.3,10,16,60,11,8
FHIA18,1,FHIA181,ratoon,NA,NA,NA,173,58,9,6,18,91,12,9
FHIA18,2,FHIA182,ratoon,NA,NA,NA,168,53,9.2,6,17,92.5,12,9
FHIA18,3,FHIA183,ratoon,NA,NA,NA,170,56.5,8.9,6,16,92.5,12,10
FHIA18,4,FHIA184,ratoon,NA,NA,NA,179,59,8.6,7,15,89,12,10
FHIA18,5,FHIA185,ratoon,NA,NA,NA,174,57.5,8.5,6,16,89,12,10
FHIA18,6,FHIA186,ratoon,NA,NA,NA,164,58,9.4,6,17,91,12,9
FHIA18,7,FHIA187,ratoon,NA,NA,NA,175,54,9.8,7,14,90,12,10
FHIA18,8,FHIA188,ratoon,NA,NA,NA,170,55,8,6,18,90,12,9
FHIA18,9,FHIA189,ratoon,NA,NA,NA,166,54.5,8.1,6,17,90.5,12,10
FHIA18,10,FHIA1810,ratoon,NA,NA,NA,171,56,8.6,7,16,90,12,9
FHIA25,1,FHIA251,ratoon,NA,NA,NA,214,65,13.4,12,18,69.5,11,10
FHIA25,2,FHIA252,ratoon,NA,NA,NA,217,64.5,14.8,12,16,69.5,12,10
FHIA25,3,FHIA253,ratoon,NA,NA,NA,212,66,15.8,12,17,70,12,10
FHIA25,4,FHIA254,ratoon,NA,NA,NA,203,60.5,13.6,12,17,72,12,9
FHIA25,5,FHIA255,ratoon,NA,NA,NA,210,65,14.2,13,17,71.5,11,10
FHIA25,6,FHIA256,ratoon,NA,NA,NA,218,64,13.7,11,16,71,11,10
FHIA25,7,FHIA257,ratoon,NA,NA,NA,220,62.5,13.6,12,15,71.5,12,10
FHIA25,8,FHIA258,ratoon,NA,NA,NA,216,62,13.5,13,18,69,12,10
FHIA25,9,FHIA259,ratoon,NA,NA,NA,205,65.5,14.7,11,18,71,12,9
FHIA25,10,FHIA2510,ratoon,NA,NA,NA,211,63,14,11,16,71,11,10
SH34369,1,SH343691,ratoon,NA,NA,NA,231,64,11.2,10,16,71.5,14,10
SH34369,2,SH343692,ratoon,NA,NA,NA,230,69,10.5,9,16,68.5,14,11
SH34369,3,SH343693,ratoon,NA,NA,NA,228,68,10.6,9,16,68.5,13,11
SH34369,4,SH343694,ratoon,NA,NA,NA,224,69,10.8,9,15,69,14,10
SH34369,5,SH343695,ratoon,NA,NA,NA,226,65,11.6,10,18,69,14,10
SH34369,6,SH343696,ratoon,NA,NA,NA,240,68,10.2,10,14,71.5,14,10
SH34369,7,SH343697,ratoon,NA,NA,NA,225,68,10.3,9,18,72,13,11
SH34369,8,SH343698,ratoon,NA,NA,NA,228,62,9.7,9,17,71,14,10
SH34369,9,SH343699,ratoon,NA,NA,NA,237,71,9.5,9,15,70,14,11
SH34369,10,SH3436910,ratoon,NA,NA,NA,238,62.5,10.8,10,15,70,13,11
BITA2,1,BITA21,ratoon,NA,NA,NA,230,68,17.4,15,20,66.5,13,11
BITA2,2,BITA22,ratoon,NA,NA,NA,225,71,17.9,15,19,65,13,11
BITA2,3,BITA23,ratoon,NA,NA,NA,220,68,17.6,14,19,65,14,11
BITA2,4,BITA24,ratoon,NA,NA,NA,229,70,18.6,14,18,66.5,13,10
BITA2,5,BITA25,ratoon,NA,NA,NA,226,69,18.7,14,20,64.5,14,10
BITA2,6,BITA26,ratoon,NA,NA,NA,223,65,19.7,14,18,66.5,13,10
BITA2,7,BITA27,ratoon,NA,NA,NA,229,72,18,15,18,67,13,11
BITA2,8,BITA28,ratoon,NA,NA,NA,218,66,17.4,15,17,64,13,11
BITA2,9,BITA29,ratoon,NA,NA,NA,229,65,17.2,15,21,65,13,11
BITA2,10,BITA210,ratoon,NA,NA,NA,235,70,17.9,14,20,65,13,10
GCTCV119,1,GCTCV1191,ratoon,NA,NA,NA,202,60,16.7,14,17,67.5,12,10
GCTCV119,2,GCTCV1192,ratoon,NA,NA,NA,196,58,16.2,14,21,67,11,10
GCTCV119,3,GCTCV1193,ratoon,NA,NA,NA,189,62,17.8,14,20,67,11,10
GCTCV119,4,GCTCV1194,ratoon,NA,NA,NA,187,63,19,13,20,66.5,12,9
GCTCV119,5,GCTCV1195,ratoon,NA,NA,NA,188,57,16.4,14,19,66,12,9
GCTCV119,6,GCTCV1196,ratoon,NA,NA,NA,193,56,16,14,19,67.5,12,10
GCTCV119,7,GCTCV1197,ratoon,NA,NA,NA,190,59,17.2,13,18,65.5,12,9
GCTCV119,8,GCTCV1198,ratoon,NA,NA,NA,193,61,17.8,13,18,66,12,10
