Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Girth at 1m of following sucker (cm) (shooting),Height of following sucker (cm) (harvest),Bunch weight (kg),Number of hands,Number of fruits in hand,Number of dead roots,Number of functional roots
Calcutta4,A,1,Calcutta4A1,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcutta4,A,2,Calcutta4A2,mother,2/12/2003,7/7/2003,10/16/2003,223,40,200,33,242,1.5,7,22,NA,NA
Calcutta4,A,3,Calcutta4A3,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10
Calcutta4,A,4,Calcutta4A4,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcutta4,A,5,Calcutta4A5,mother,2/12/2003,7/25/2003,10/23/2003,205,36,185,32,226,1,6,21,NA,NA
Calcutta4,A,6,Calcutta4A6,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcutta4,B,7,Calcutta4B7,mother,2/12/2003,7/21/2003,10/23/2003,225,38,195,27,278,2.2,6,25,NA,NA
Calcutta4,B,8,Calcutta4B8,mother,2/12/2003,7/15/2003,10/16/2003,230,40,205,35,270,1.8,8,20,13,42
Calcutta4,B,9,Calcutta4B9,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcutta4,B,10,Calcutta4B10,mother,2/12/2003,7/16/2003,10/16/2003,225,37,120,24,137,1,7,24,NA,NA
Calcutta4,B,11,Calcutta4B11,mother,2/12/2003,8/1/2003,NA,210,34,115,22,NA,NA,NA,NA,NA,NA
Calcutta4,B,12,Calcutta4B12,mother,2/12/2003,7/28/2003,10/30/2003,220,38,170,31,226,1.5,7,18,NA,NA
Calcutta4,C,13,Calcutta4C13,mother,2/12/2003,7/10/2003,10/16/2003,225,40,160,28,228,2.5,7,20,NA,NA
Calcutta4,C,14,Calcutta4C14,mother,2/12/2003,7/10/2003,10/16/2003,230,40,235,36,204,2.2,7,25,NA,NA
Calcutta4,C,15,Calcutta4C15,mother,2/12/2003,7/21/2003,10/23/2003,210,44,240,36,272,1.5,7,16,11,37
Calcutta4,C,16,Calcutta4C16,mother,2/12/2003,7/14/2003,10/16/2003,225,40,172,27,262,1.2,7,16,1,48
Calcutta4,C,17,Calcutta4C17,mother,2/12/2003,7/12/2003,NA,210,36,190,34,NA,NA,NA,NA,NA,NA
Calcutta4,C,18,Calcutta4C18,mother,2/12/2003,7/14/2003,10/16/2003,210,35,165,29,170,1.8,7,19,NA,NA
Calcutta4,D,19,Calcutta4D19,mother,2/12/2003,7/22/2003,10/23/2003,210,35,225,20,193,3,7,21,NA,NA
Calcutta4,D,20,Calcutta4D20,mother,2/12/2003,7/14/2003,10/16/2003,200,35,147,25,260,1.8,7,15,NA,NA
Calcutta4,D,21,Calcutta4D21,mother,2/12/2003,7/14/2003,10/16/2003,215,37,165,26,230,2.8,7,21,0,67
Calcutta4,D,22,Calcutta4D22,mother,2/12/2003,7/13/2003,NA,222,41,130,22,NA,NA,NA,NA,6,30
Calcutta4,D,23,Calcutta4D23,mother,2/12/2003,8/1/2003,10/30/2003,190,37,140,28,254,1.8,7,24,NA,NA
Calcutta4,D,24,Calcutta4D24,mother,2/12/2003,7/16/2003,10/16/2003,225,37,135,23,225,1.5,6,23,NA,NA
FHIA01,A,1,FHIA01A1,mother,2/12/2003,12/6/2003,3/10/2004,260,62,135,48,150,13,8,16,NA,NA
FHIA01,A,2,FHIA01A2,mother,2/12/2003,12/3/2003,NA,240,62,110,42,NA,NA,NA,NA,NA,NA
FHIA01,A,3,FHIA01A3,mother,2/12/2003,2/2/2004,NA,250,54,122,45,NA,NA,NA,NA,3,10
FHIA01,A,4,FHIA01A4,mother,2/12/2003,1/14/2004,4/14/2004,238,68,120,46,151,8.8,11,18,0,9
FHIA01,A,5,FHIA01A5,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,A,6,FHIA01A6,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,B,7,FHIA01B7,mother,2/12/2003,11/25/2003,2/25/2004,278,64,156,58,180,13.8,8,16,NA,NA
FHIA01,B,8,FHIA01B8,mother,2/12/2003,1/26/2004,4/28/2004,265,60,190,82,250,11.5,7,14,NA,NA
FHIA01,B,9,FHIA01B9,mother,2/12/2003,12/8/2003,3/10/2004,260,58,115,40,150,10,7,13,8,38
FHIA01,B,10,FHIA01B10,mother,2/12/2003,2/16/2004,5/19/2004,200,49,120,48,207,9.6,6,14,NA,NA
FHIA01,B,11,FHIA01B11,mother,2/12/2003,2/14/2004,5/19/2004,270,61,180,79,264,14.6,8,15,NA,NA
FHIA01,B,12,FHIA01B12,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,C,13,FHIA01C13,mother,2/12/2003,5/8/2004,8/11/2004,270,60,215,89,265,13.4,8,16,NA,NA
FHIA01,C,14,FHIA01C14,mother,2/12/2003,11/23/2003,2/25/2004,264,57,44,24,85,14.6,8,16,NA,NA
FHIA01,C,15,FHIA01C15,mother,2/12/2003,1/18/2004,4/21/2004,260,59,180,68,216,11.6,8,16,0,19
FHIA01,C,16,FHIA01C16,mother,2/12/2003,7/18/2004,10/20/2004,275,67,180,70,205,13,8,15,NA,NA
FHIA01,C,17,FHIA01C17,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,C,18,FHIA01C18,mother,2/12/2003,3/16/2004,6/16/2004,245,53,130,59,160,16.4,8,15,5,4
FHIA01,D,19,FHIA01D19,mother,2/12/2003,2/14/2004,5/19/2004,263,58,153,56,212,10.6,7,14,NA,NA
FHIA01,D,20,FHIA01D20,mother,2/12/2003,12/28/2003,3/31/2004,245,54,112,45,150,9,7,14,2,3
FHIA01,D,21,FHIA01D21,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA01,D,22,FHIA01D22,mother,2/12/2003,12/28/2003,3/31/2004,265,60,155,72,180,10.2,8,14,5,60
FHIA01,D,23,FHIA01D23,mother,2/12/2003,1/31/2004,4/7/2004,336,87,250,94,300,20,11,19,NA,NA
FHIA01,D,24,FHIA01D24,mother,2/12/2003,1/1/2004,3/31/2004,261,61,185,67,193,12.6,8,16,NA,NA
FHIA23,A,1,FHIA23A1,mother,2/12/2003,1/1/2004,3/31/2004,350,89,200,66,290,24.2,16,22,NA,NA
FHIA23,A,2,FHIA23A2,mother,2/12/2003,1/19/2004,4/21/2004,250,94,194,61,269,29,16,21,NA,NA
FHIA23,A,3,FHIA23A3,mother,2/12/2003,12/13/2003,3/17/2004,320,83,195,64,240,21,14,22,NA,NA
FHIA23,A,4,FHIA23A4,mother,2/12/2003,12/6/2003,3/3/2004,317,94,220,70,290,26,13,20,4,38
FHIA23,A,5,FHIA23A5,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,6,FHIA23A6,mother,2/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,7,FHIA23B7,mother,2/12/2003,1/25/2004,NA,393,103,177,61,NA,NA,NA,NA,NA,NA
FHIA23,B,8,FHIA23B8,mother,2/12/2003,11/25/2003,2/25/2004,350,89,270,82,310,24.4,16,23,NA,NA
FHIA23,B,9,FHIA23B9,mother,2/12/2003,10/31/2003,1/29/2004,382,87,266,86,332,25.2,14,21,NA,NA
