trial_id,trial_id2,country,location_name,evaluated_trait,latitude,longitude,planting_date,max_time_planting_harvest,altitude,cycle
imtp-1_1566_trial_data_c1,1566,Honduras,La Lima,BS,15.4166667,-87.9333333,1/1/1990,519,0,mother
imtp-1_1566_trial_data_c2,1566,Honduras,La Lima,BS,15.4166667,-87.9333333,1/1/1990,519,0,ratoon
imtp-1_1683_trial_data,1683,Colombia,Zabaletas,BS,3.8166667,-76.5166667,10/10/1991,589,1420,mother
imtp-1_1924_trial_data,1924,Cameroon,Nyombe,BS,4.5833333,9.65,4/7/1991,366,80,mother
imtp-1_2831_trial_data,2831,Burundi,Mageyo,BS,-3.31586,29.498411,7/6/1991,400,1450,mother
imtp-2_2935_trial_data,2935,Cameroon,Njombe,BS,4.5833333,9.65,10/19/1995,369,80,mother
imtp-2_2936_trial_data,2936,Colombia,"El Agrado, Quindío",YS,4.5166667,-75.7833333,3/19/1997,605,1320,mother
imtp-2_2937_trial_data_c1,2937,Costa Rica,La Rita,BS,10.2666667,-83.45,2/12/1996,467,125,mother
imtp-2_2937_trial_data_c2,2938,Costa Rica,La Rita,BS,10.2666667,-83.45,2/12/1996,647,125,ratoon
imtp-2_2938_trial_data,2938,Honduras,La Lima,BS,15.4166667,-87.9333333,7/12/1996,512,31,mother
imtp-2_2939_trial_data_c1,2939,Nigeria,Abuja,BS,9.2666667,7.3333333,8/8/1995,663,300,mother
imtp-2_2939_trial_data_c2,2939,Nigeria,Abuja,BS,9.2666667,7.3333333,8/8/1995,843,300,ratoon
imtp-2_2940_alley_c1,2940,Nigeria,Onne,BS,4.7666667,7.1666667,6/19/1995,550,30,mother
imtp-2_2940_alley_c2,2940,Nigeria,Onne,BS,4.7666667,7.1666667,6/19/1995,854,30,ratoon
imtp-2_2940_mono_c1,2940,Nigeria,Onne,BS,4.7666667,7.1666667,6/20/1995,619,30,mother
imtp-2_2940_mono_c2,2940,Nigeria,Onne,BS,4.7666667,7.1666667,6/20/1995,899,30,ratoon
imtp-2_2941_trial_data_c1,2941,Nigeria,Ibadan,BS,7.4333333,3.9,8/14/1995,629,150,mother
imtp-2_2941_trial_data_c2,2941,Nigeria,Ibadan,BS,7.4333333,3.9,8/14/1995,979,150,ratoon
imtp-2_2942_trial_data,2942,Philippines,"Davao, Mindanao",BS,7.0833333,125.6,6/20/1996,471,100,mother
imtp-2_2957_trial_data,2957,Tonga,"Vaini, Tongatapu",BS,-21.1666667,-175.166667,1/9/1996,432,30,mother
imtp-2_2958_trial_data_c1,2958,Uganda,"Kawanda, Kampala",BS,0.3166667,32.5333333,12/15/1995,651,1210,mother
imtp-2_2959_trial_data_c1,2959,Australia,Wamuran,Fusarium,-27.4666667,153.0333333,11/14/1995,675,380,mother
imtp-2_2960_trial_data,2960,Brazil,Cruz das Almas,Fusarium,-12.6666667,-39.1,3/26/1996,632,225,mother
imtp-2_2999_trial_data,2999,Honduras,"La Lima, Cortes",Fusarium,15.4166667,-87.9333333,6/7/1996,664,31,mother
imtp-2_3000_trial_data,3000,Indonesia,"Aripan Solok, West Sumatra",Fusarium,-0.0166667,100.6,4/15/1996,499,415,mother
imtp-2_3001_trial_data_c1,3001,Malaysia,"Kotta Tinggi, Johor",Fusarium,1.6166667,103.9333333,4/25/1996,469,30,mother
imtp-2_3001_trial_data_c2,3001,Malaysia,"Kotta Tinggi, Johor",Fusarium,1.6166667,103.9333333,4/25/1996,633,30,ratoon
imtp-2_3002_trial_data,3002,Philippines,"Davao, Mindanao",Fusarium,7.5,125.65,6/20/1996,455,39,mother
imtp-2_3003_trial_data,3003,South Africa,"Hazyview, Eastern Transvaal",Fusarium,-25.1166667,31.0833333,8/10/1995,811,722,mother
imtp-2_3004_trial_data,3004,Spain,"Valle de Guerra, Tenerife, Canary Islands",Fusarium,28.512955,-16.391007,1/2/1996,674,50,mother
imtp-2_3005_trial_data,3005,Taiwan,"Chiuju, Pingtung",Fusarium,22.7,120.4833333,5/23/1996,431,100,mother
imtp-2_3006_trial_data,3006,Uganda,"Mitooma and Buyanrugulu county, Bushenyi district Western",Fusarium,-0.5833333,30.05,11/30/1995,661,1200,mother
imtp-3_16166_trial_data_c1,16166,Bangladesh,"Regional Agriculture Research Station, Ishurdi, Pabna",BS,24.13333333,89.03333333,4/7/2002,721,18,mother
imtp-3_16166_trial_data_c2,16166,Bangladesh,"Regional Agriculture Research Station, Ishurdi, Pabna",BS,24.13333333,89.03333333,4/7/2002,901,18,ratoon
imtp-3_16167_trial_data_c1,16167,Cameroon,Centre Africain de Recherches sur Bananiers et Plantains (CARBAP),BS,4.583333333,9.65,11/15/1999,397,92,mother
imtp-3_16167_trial_data_c2,16167,Cameroon,Centre Africain de Recherches sur Bananiers et Plantains (CARBAP),BS,4.583333333,9.65,11/15/1999,577,92,ratoon
imtp-3_16168_trial_data,16168,Indonesia,"Aripan Experimental Field, Sumatera",Fusarium,-0.7412,100.6251,2/1/2003,514,414,mother
imtp-3_16170_trial_data,16170,Philippines,"BPI, Bago Oshiro, Davao City, Mindanao",BS,7.531833333,125.8350667,8/2/2002,599,112,mother
imtp-3_16171_trial_data,16171,Philippines,"BPI, Bago Oshiro, Davao City, Mindanao",Fusarium,7.083333,125.6,8/2/2002,1084,133,mother
imtp-3_16172_trial_data,16172,Rwanda,Rubona,Fusarium,-2.2734167,30.5315,2/21/2002,1251,1545,mother
imtp-3_16173_trial_data_c1,16173,Rwanda,Rubona,Nematodes,-2.4873889,29.7723889,5/30/2002,932,1723,mother
imtp-3_16173_trial_data_c2,16173,Rwanda,Rubona,Nematodes,-2.4873889,29.7723889,5/30/2002,1112,1723,ratoon
imtp-3_16175_trial_data,16175,China,"Panyu, Guangdong Province",Fusarium,22.9333,113.35,8/17/2002,516,2,mother
imtp-3_16176_trial_data,16176,Honduras,"Centro Experimental y Demostrativo de Plátano (CEDEP), El Calán, Cortés",BS,15.4166667,-87.9333333,2/1/2002,553,14,mother
imtp-3_16177_trial_data,16177,Nicaragua,Rivas,BS,11.3560417,-85.7994444,6/28/2002,519,46,mother
imtp-3_16178_trial_data_c1,16178,Philippines,Dole,"Nematodes,BS",7.01415,125.1538278,1/4/2002,567,605,mother
imtp-3_16178_trial_data_c2,16178,Philippines,Dole,"Nematodes,BS",7.01415,125.1538278,1/4/2002,747,605,ratoon
imtp-3_16179_trial_data_c1,16179,Philippines, Davao del Sur,Nematodes,6.6833333,125.35,4/10/2002,460,10,mother
imtp-3_16180_trial_data_c1,16180,South Africa,"Burgershall, block B9",Nematodes,-25.1166667,31.08,11/3/2003,808,720,mother
imtp-3_16180_trial_data_c2,16180,South Africa,"Burgershall, block B10",Nematodes,-25.1166667,31.08,11/3/2003,988,720,ratoon
imtp-3_16180_trial_data_c3,16180,South Africa,"Burgershall, block B11",Nematodes,-25.1166667,31.08,11/3/2003,1088,720,ratoon
imtp-3_16181_trial_data_c1,16181,Vietnam,Ha Tay province,BS,21.3,105.9833333,8/17/2002,422,10,mother
imtp-3_16181_trial_data_c2,16181,Vietnam,Ha Tay province,BS,21.3,105.9833333,8/17/2002,827,10,ratoon
imtp-3_16182_trial_data_c1,16182,Vietnam," Gia Lam district, Ha Noi city",Fusarium,21.3833333,106.05,2/26/2002,519,16,mother
imtp-3_16182_trial_data_c2,16182,Vietnam," Gia Lam district, Ha Noi city",Fusarium,21.3833333,106.05,2/26/2002,699,16,ratoon
imtp-3_16278_trial_data_c1,16278,Costa Rica,La Rita,Nematodes,10.2833333,-83.7833333,2/12/2003,616,125,mother
imtp-3_16278_trial_data_c2,16278,Costa Rica,La Rita,Nematodes,10.2833333,-83.7833333,2/12/2003,796,125,ratoon
