GENOTYPES,Total number of leaves at shooting,Number of functional leaves at shooting,Youngest leaf spotted,Infection index at shooting,Index of youngest leaf spotted at shooting,Index of non spotted  leaf area at shooting,Total number of leaves at harvest,Number of functional leaves at harvest,Youngest leaf spotted at harvest,Infection index at harvest,Index of youngest leaf spotted at harvest,Index of non spotted  leaf area at harvest,Time from planting to shooting (days),Time from shooting to harvest(days),Height of pseudostem at shooting(cm),Girth of pseudostem at shooting(cm),Bunch weight(kg),Number of hands per bunch,Total number of fingers per bunch,External length of middle fruit of 2nd hand(cm),Diameter of middle fruit of 2nd hand(cm)
FHIA-23,11.6,10.6,5.2,23.3,63.8,36.2,8.6,8.6,3.8,35,67.4,32.6,269,146,3.43,86,41.9,15.2,213.4,6.8,45.2
FHIA-17,11.4,10.4,5.6,36.1,59.6,40.4,9,8.8,2,45.94,88.9,11.1,262,93.2,3.63,80,41.3,13,231,8.3,43.2
SH-3436-9,11.6,10.6,5.8,35.8,58.6,41.4,10.4,9.8,3,42.8,80.8,19.2,259.2,73.2,3.2,71,29.26,9.2,140.8,7.8,42
FHIA-18,13.2,12.2,6.6,36.1,57.6,42.4,10.6,8,2.8,36.12,83,17,238.6,93.2,3.03,65,37.4,10.8,188.6,8.1,43
SH-3640,10.6,9.2,6.4,20,49.1,50.9,7.4,6.5,2,60.65,86.5,13.5,167.4,101.6,3.18,62,29.6,9.2,140.2,7.8,42.8
Williams,9,7.6,4.2,35.4,64.4,35.6,1,1,1,100,100,0,168.2,102.2,2.51,54,23.42,6.6,104.66,7.88,42.4
FHIA-03,15,14,6.8,34.17,61.3,38.7,10.4,10.4,3,41.32,80.8,19.2,235.6,100.8,3.09,63,20.2,8.4,134,5.9,42.8
FHIA-25,14,13.8,2.6,42.3,88.6,11.4,11,10,6,40.4,54.5,45.5,391.4,75,3.28,69,39.5,16,293,6.5,41
TMBx 5295-1,12.2,10.9,5.6,45.8,62.3,37.7,6.4,6,2,39.5,84.4,15.6,186,98.2,3.83,68,27.24,8.4,116.8,8.3,43
CRBP-39,13.4,13,7.4,27,52.2,47.8,6.8,6,2,38.8,85.3,14.7,204.6,199.8,3.48,60,31.76,8,131.4,7.3,44
Local cv. (Barraganete),11,10.2,5.7,33.9,57.3,42.7,8.2,6.8,2.2,48.4,85.4,14.6,244.8,91.6,3.53,59,16.6,7,38.2,10.1,50
