GENOTYPES,Total number of leaves at shooting,Number of functional leaves at shooting,Youngest leaf spotted at shooting,Infection index at shooting,Index of youngest leaf spotted at shooting,Index of non spotted leaf area at shooting,Total number of leaves at harvest,Number of functional leaves at harvest,Youngest leaf spotted at harvest,Infection  index at harvest,Index of youngest leaf spotted at harvest,Index of non spotted leaf area at harvest,Time from planting to shooting(days),Time from shooting to harvest(days),Height of pseudostem at shooting(cm),Girth of pseudostem at shooting(cm),Bunch weight(kg),Number of hands per bunch,Total number of fingers per bunch,External length of middle fruit of 2nd hand(cm),Diameter of middle fruit of 2nd hand(cm)
FHIA-23,12.2,10.8,3,33.56,83.6,16.4,9,8,1,39.99,88.9,11.1,370,77,292,76,25.5,12.5,211,6.5,40
FHIA-17,11.8,11.6,3,29.76,83.3,16.7,9.5,9,1,45.77,89.5,10.5,389,72,324,75,23.45,10,155,7.5,41
SH-3436-9,10.8,10,3.4,25,77.8,22.2,5,3.7,1,66.66,80,20,345.8,83.5,249,66,23.05,8,156,6.87,40.5
TMB3x 15108-6,10.8,10,3.8,39.26,74,26,2,0.2,0.6,76.1,70,30,301.2,93.4,304,66,14.72,8.2,157.4,4.4,39.2
SH-3640,9.8,8.4,3,39.75,79.6,20.4,2.8,0.6,1,96.64,95.8,4.2,284.8,89.4,259,58,12.72,8.2,95,5.7,41
Williams,9,7.8,3.6,41.6,71.2,28.8,2,0,1,100,100,0,262,78.4,219,54,16.24,8.2,123.4,5.86,40
FHIA-03,10.4,9.4,5,35.4,61.5,38.5,7.4,5.2,1.8,73.8,89.2,10.8,301.2,96.4,282,63,19.84,7.6,112,5.9,47.2
FHIA-25,11,11,3,12.45,81.8,18.2,8,7.5,1,44.4,87.5,12.5,,,,,,,,,
TMBx 5295-1,9.4,8.2,3.6,35.56,72.3,27.7,4.4,2.8,1,99.44,77.3,22.7,248,87.4,339,59,14.52,7.6,80,8.6,45.6
Dominico,9.4,8,3.2,49.6,76.5,23.4,3,0.2,1,97.76,67,33,258.8,80.8,316,54,12.74,6.6,82.2,7.78,45.6
CRBP-39,9.8,9.2,4,36.8,69.4,30.6,5.2,2.4,1.2,74.85,77,23,299.6,92,310,55,15.67,6.8,94.8,6.3,42.4
Local cv. (Barraganete),9.6,7.8,3,50.6,79.2,20.8,3.8,2,1,78.74,73.7,26.3,252.8,70,275,53,8.52,6.2,31.2,9.5,54.4
