GENOTYPES,Total number of leaves at shooting,Number of functional leaves at shooting,Youngest leaf spotted at shooting,Infection index at shooting,Index of youngest leaf spotted at shooting,Index of non spotted leaf area at shooting,Total number of leaves at harvest,Number of functional leaves at harvest,Youngest leaf spotted at harvest,Infection index at harvest,Index of youngest leaf spotted at harvest,Index of non spotted leaf area at harvest,Time from planting to shooting(days),Time from shooting to harvest(days),Height of pseudostem at shooting(cm),Girth of pseudostem at shooting(cm),Bunch weight(kg),Number of hands per bunch,Total number of fingers per bunch,External length of middle fruit of 2nd hand(cm),Diameter of middle fruit of 2nd hand(cm)
FHIA-23,11.4,11,5.6,30.3,59.7,40.3,7.2,7.2,2.4,30.04,80.6,19.4,285.6,107,315,75,38.2,11.6,201.2,7.3,41.6
FHIA-17,10.6,10.3,6,21.9,52.8,47.2,9.1,8.4,3.4,37.72,73.6,26.4,297.4,88.8,318,71,37.65,10.6,172.8,7.9,42.2
SH-3436-9,12.4,11.4,5.6,37.12,62.9,37.1,6.6,5.8,1.8,48.4,87.9,12.1,266.2,86,318,72,29.95,7.2,156.2,7.5,42.2
TMB3x 15108-6,12.6,11.5,5.2,38.8,66.7,33.3,4.7,4,1,40.6,78.7,21.2,233,116,335,71,21.38,6.2,131.2,7.1,41.8
SH-3640,10.8,9.8,3.6,40.16,75.9,24.1,6.6,6.1,3.6,30.4,60.6,39.4,188.4,100.2,258,55,17.94,5.8,95,7.5,42
Williams,9.2,7.8,4,45.44,67.4,32.6,0,0,0,100,100,0,209.4,78,223,47,18.29,6.6,114.4,7.6,40.4
FHIA-03,15.6,14.4,6.4,36.42,65.4,34.6,8,7.6,3.6,30.8,67.5,32.5,247,100.4,319,64,19.55,5.8,98.2,7,45.4
TMBx 5295-1,9.6,8.6,5,38.06,58.3,42.7,5.9,5.4,1.8,37,86.4,13.5,184.4,114.4,329,58,22.27,6,83.4,9.1,42.6
Dominico,11,10.2,5.8,19.58,56.4,43.6,6.3,5.8,1,61.08,84.1,15.9,109.6,89.8,312,54,26.7,7,119,7.8,42.2
CRBP-39,13.2,13.2,7,20.7,54.5,45.5,7.6,7.4,3.6,38.4,65.8,34.2,247.2,110.6,345,55,18.1,7.4,102,7,41.8
Local cv. (Barraganete),12,10.8,5,38.02,66.7,33.3,7.5,6.8,2,48.1,73.3,26.7,187.4,100.2,285,48,9.14,5.4,26.4,9.7,44.6
