"id","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","rhum_06","rhum_09","rhum_12","rhum_15","rhum_18"
"imtp_1566_c1",5,33,42,14,173.410003662109,268.310001373291,685.950000762939,339.110004425049,2121.02999842167,8.13314393316537,35.3490234375,19.8628784179688,24.8875061035156,17.117333984375,7,136,0,0,8,5,20.1040161132813,31.877279663086,93.823972089791,79.435978807049,70.2415559321274,74.8340085465231,85.8853037327896
"imtp_1566_c2",12,11,6,5,98.6800003051758,193.180000782013,309.890000343323,172.360000610352,568.730000495911,8.36585715136358,36.9334045410156,19.723291015625,23.1451965332031,14.3508850097656,8,47,0,0,4,5,18.8678894042969,33.9241424560547,94.8182976696942,77.3938102464418,65.6930075722772,68.4704862285305,84.2604639465744
"imtp_1683",1,174,107,63,98.7099990844727,188.500000476837,989.419994354248,289.219997406006,4722.61999261379,12.9054644606967,25.030908203125,19.9300476074219,17.5288940429688,14.3772216796875,6,0,0,0,3,3,15.6015289306641,23.591683959961,92.622085965198,77.9989066538603,73.8854225822117,79.139344173929,90.404371821362
"imtp_1924",19,77,40,11,70.4899978637695,135.779999375343,414.449995040894,180.059997558594,1495.2199934721,8.25695648550501,35.8960815429688,25.9114318847656,24.1656433105469,19.9315734863281,8,153,0,0,9,8,21.3001647949219,34.3891052246094,95.9174610137939,79.949133682251,65.5507639077994,72.3861770776602,87.8591118152325
"imtp_2935",8,30,12,0,19.9899997711182,60.4100008010864,137.610000610352,36.0200004577637,561.080001711845,4.96608334621415,35.0494018554688,27.4576049804688,24.1292358398438,21.2743469238281,9,172,0,0,3,5,21.9188873291016,33.6194244384766,95.3258530064633,77.7566804986251,62.2579147539641,69.6053301961798,86.9295555114746
"imtp_2937_c1",5,73,66,27,94.3399963378906,238.220001220703,698.119998931885,233.289993286133,2598.82999944687,11.517224667479,29.4767700195313,23.0636840820313,23.9391418457031,20.6178527832031,5,0,0,0,5,9,21.6163726806641,28.9434143066406,96.3691561818123,86.714446246624,81.9708437621593,85.1499848663807,92.5766407251358
"imtp_2938",13,28,30,17,77.7600021362305,193.680002689362,574.060005187988,249.560005187988,1710.88000249863,7.95945206625583,39.0691467285156,20.2159057617188,24.6087585449219,14.6009765625,7,125,0,0,10,5,19.6453826904297,33.3007995605469,95.1653291216548,73.1603788885271,68.3717906430641,72.9878372524096,84.3826299157942
"imtp_2939_c1",69,56,66,28,118.660003662109,160.340003728867,810.670003890991,369.490005493164,2585.92000615597,11.1948498114144,36.6359497070313,22.4667602539063,24.6092163085938,17.5830017089844,9,206,0,0,10,7,19.4246765136719,35.0709197998047,77.0750393660172,60.5038996157439,52.955196806774,51.8354529977421,65.7493466639864
"imtp_2939_c2",75,105,65,21,111.470001220703,180.840002059937,768.440006256104,320.010005950928,2409.66000521183,10.0686722201647,36.9814697265625,22.97451171875,23.8945251464844,17.164208984375,9,243,0,0,25,5,19.2679382324219,34.2819458007813,71.509719102372,56.5389739921809,49.829440114744,49.0636895098494,64.5038350088179
"imtp_2940_alley_c1",5,143,99,31,73.0299987792969,166.14999961853,650.620002746582,224.170001983643,3132.7500013113,9.75941176887821,32.9448486328125,25.5256896972656,24.9758850097656,21.5334411621094,6,179,0,0,6,4,22.3731323242188,31.8375946044922,95.9061162927178,80.4602221585392,73.6491822553485,76.734837253442,87.5392288893796
