trial_id,cycle,genotypes,dsi_f,dsi_h,bw,planting_flowering,planting_harvest
mgis_20,ratoon,CRBP 39,9,52,17.4,535.4,635.3
mgis_20,ratoon,FHIA-02,7,16,33.6,415.1,533.1
mgis_20,ratoon,FHIA-17,10,32,39.7,644.8,754.5
mgis_20,ratoon,FHIA-18,3,26,28.5,533.1,659.9
mgis_20,ratoon,FHIA-23,10,29,36.4,649.7,755.4
mgis_20,ratoon,PA 03-22,24,42,7,575.4,624.1
mgis_20,ratoon,PA 12-03,17,49,19.8,379.2,499.8
mgis_20,ratoon,PITA 16,12,89,27.4,486.9,596.8
mgis_20,ratoon,PV 03-44,6,29,19.7,397.1,532.1
mgis_20,ratoon,PV 42-320,10,59,22,461,563.3
mgis_20,ratoon,PV 42-53,7,37,26.5,459.6,569.1
mgis_20,ratoon,PV 42-81,10,68,22.4,479.5,593.5
mgis_20,ratoon,SH 3640,14,77,25.7,486,574.8
mgis_20,ratoon,Grand Nain,18,95,24.3,468.1,557.7
mgis_20,ratoon,Maricongo,23,63,15.5,535.8,626.3
mgis_20,ratoon,Yangambi km 5,17,47,28.5,516.8,631.1
mgis_20,ratoon,FHIA-01,3,22,41.7,511.8,625.4
mgis_20,ratoon,FHIA-21,9,25,27.2,580.7,681.3
mgis_20,ratoon,TMB2x 9128-3,18,88,13.5,350.3,456.8
