Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
495,1,Uganda,Mb_fp,4,2016_Mbarara_1,Nakitembe,1,126643,1,1,1,1,1,1,Mbarara,firstplant,1,1,Nakitembe    ,35,Nakitembe    ,35,4.625,10.625,279.375,4.625,4.625,40.69444625,1.875,10.8333325,1.375,1,12.3375,6.5,11.7,1.792053571,0.6375,103.25,15.25,427.875,556.5,128.625,34.903375,17,12.16041667,3.508333333,2.997916667,2.625,0,556.5,365,0.655884996,1111,8.990191038,8.525652291,No,,
496,13,Uganda,Mb_fp,4,2016_Mbarara_2,NARITA 2,2,126641,1,NA,1,1,2,2,Mbarara,firstplant,1,2,NARITA_02    ,2,NARITA_02    ,2,2.125,8.875,331.625,2.125,2.125,7.738095,1.25,10,0.75,1,21.325,8.25,17.9375,2.155084325,3.3875,131.125,15.375,325.375,487.5,162.125,12.61875,18.3625,11.64166667,3.327083333,2.877083334,2.5,0,487.5,365,0.748717949,1111,17.73868179,14.92087244,No,,
497,24,Uganda,Mb_fp,4,2016_Mbarara_3,NARITA 23,3,126667,1,NA,1,1,3,3,Mbarara,firstplant,1,3,NARITA_23    ,23,NARITA_23    ,23,4.4,12.4,281.7,4.4,4.4,27.388887,1.7,6.428571,1,1,28.58,10.9,28.07,2.667996504,0.51,161.9,14.6,381,538.3,157.3,95.10983333,16.75666667,13.39666667,3.938333333,3.378333333,3,0,538.3,365,0.678060561,1111,21.5300366,21.1458407,No,,
498,37,Uganda,Mb_fp,4,2016_Mbarara_4,NARITA 10,4,126675,1,NA,1,1,4,4,Mbarara,firstplant,1,4,NARITA_10    ,10,NARITA_10    ,10,2.583333333,9.333333333,250,2.583333333,2.583333333,37.1527775,0.916666667,2.083333333,0.5,1,9.175,7.5,8.591666667,1.134623016,0.583333333,126.0833333,16.33333333,368.6666667,556.9166667,188.25,15.053875,14.63888889,9.683333333,2.847222222,2.402777778,2,0,556.9166667,365,0.655394284,1111,6.680712479,6.255962367,No,,
499,49,Uganda,Mb_fp,4,2016_Mbarara_5,NARITA 14,5,126679,1,NA,1,1,5,5,Mbarara,firstplant,1,5,NARITA_14    ,14,NARITA_14    ,14,7.5,10.66666667,235.8333333,7.5,7.5,22.14506,3.333333333,11.57407333,1.333333333,1,16.11666667,7.833333333,15.31666667,1.954166667,0.8,121,15.16666667,401.1666667,587.5,186.3333333,6.725,20.16111111,11.96111111,3.430555556,2.927777778,2.583333333,0,587.5,365,0.621276596,1111,11.12434057,10.57214993,No,,
500,62,Uganda,Mb_fp,4,2016_Mbarara_6,Williams,6,126665,1,1,1,1,6,6,Mbarara,firstplant,1,6,Williams     ,34,Williams     ,34,5,11.875,215.25,5.25,5.25,33.56895,1.75,11.6071425,1.25,1,21.7,9.375,21.7125,2.323405934,-0.0125,154.75,16.25,411.625,599.625,188,87.575,19.03541667,11.88125,3.5,2.891666667,3,0,599.625,365,0.608713779,1111,14.67529789,14.68375141,No,,
501,73,Uganda,Mb_fp,4,2016_Mbarara_7,NARITA 6,7,126590,1,NA,1,1,7,0,Mbarara,firstplant,1,7,.,.,NARITA_06    ,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,YES,,
502,86,Uganda,Mb_fp,4,2016_Mbarara_8,NARITA 7,8,126673,1,NA,1,1,8,7,Mbarara,firstplant,1,8,NARITA_07    ,7,NARITA_07    ,7,5,10.16666667,350.5833333,5.083333333,5.083333333,33.37081083,2.25,12.44047583,1.333333333,1,17.48333333,8.583333333,17.01666667,2.034606782,0.466666667,99.91666667,11.58333333,530.4166667,661.75,131.3333333,50.13333333,18.89583333,13.38888889,3.902777778,3.219444444,3.138888889,0,661.75,365,0.551567813,1111,10.713644,10.42767448,No,,
503,97,Uganda,Mb_fp,4,2016_Mbarara_9,NARITA 24,9,126670,1,NA,1,2,1,8,Mbarara,firstplant,1,9,NARITA_24    ,24,NARITA_24    ,24,1.666666667,7.833333333,299.8333333,1.916666667,1.916666667,19.83134917,0.583333333,4.166666667,0.583333333,1,27.61666667,10.33333333,26.4,2.557255892,1.216666667,203.5833333,19.16666667,409.0833333,584.0833333,175,0.113129167,17.84166667,11.29861111,3.138888889,2.629166667,2.541666667,0,584.0833333,365,0.624910829,1111,19.17358696,18.32888458,No,,
504,2,Uganda,Mb_fp,4,2016_Mbarara_10,NARITA 11,10,126607,1,NA,1,2,2,9,Mbarara,firstplant,1,10,NARITA_11    ,11,NARITA_11    ,11,4.5,8.75,293.25,4.5,4.5,25.17361,2.25,9.375,1.25,1,18.875,7.75,17.725,2.276339286,1.15,142.75,17.75,432.5,603,170.5,22.95,21.30416667,10.92916667,3.175,2.725,2,0,603,365,0.605306799,1111,12.69335925,11.91998901,No,,
505,3,Uganda,Mb_fp,4,2016_Mbarara_11,Kisansa,11,126610,1,1,1,2,3,10,Mbarara,firstplant,1,11,Kisansa      ,30,Kisansa      ,30,1.666666667,8.333333333,284.1666667,1.833333333,1.833333333,25,1,8.333333333,0.833333333,1,20.33333333,7.833333333,19.95,2.508518519,0.383333333,124.5,15.33333333,415.6666667,535.1666667,119.5,25.125,18.68888889,13.46388889,3.775,3.244444444,2.916666667,0,535.1666667,365,0.68203052,1111,15.40729679,15.11683136,No,,
