Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
915,1,Tanzania,Mt_fp,7,2016_Mitalula_1,NARITA 21,1,130387,1,NA,1,1,1,0,Mitalula,firstplant,1,1,.,.,NARITA_21    ,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,YES,,
916,14,Tanzania,Mt_fp,7,2016_Mitalula_2,NARITA 22,2,130385,1,NA,1,1,2,1,Mitalula,firstplant,1,2,NARITA_22    ,22,NARITA_22    ,22,4,12,150,4,4,33.33333,1,0,1,1,16.6,8,15.4,1.925,1.2,142,17,543,670,127,0.1,17.5,12,3.53,2.558333333,4.666666667,0,670,365,0.544776119,1111,10.04708806,9.320792537,No,,
917,25,Tanzania,Mt_fp,7,2016_Mitalula_3,NARITA 13,3,130411,1,NA,1,1,3,2,Mitalula,firstplant,1,3,NARITA_13    ,13,NARITA_13    ,13,1.875,9.125,149.25,1.875,1.875,18.22916625,0.5,0,0.25,1,18.7125,8.125,17.3,2.135143849,1.4125,137.5,16.375,480.1428571,620.25,142.7142857,25.0875,17.0625,11.72916667,3.32375,2.308541667,5.25,0,620.25,365,0.58847239,1111,12.23409825,11.31061588,No,,
918,38,Tanzania,Mt_fp,7,2016_Mitalula_4,Mbwazirume,4,130419,1,1,1,1,4,3,Mitalula,firstplant,1,4,Mbwazirume   ,29,Mbwazirume   ,29,5,8,180,5,5,33.33333,1,0,0.5,1,15.3,6.5,14.2,2.185714286,1.1,105,16,523,660.5,128,50.05,13.83333334,13.5,3.8425,2.863333333,4.833333334,0,660.5,365,0.552611658,1111,9.393458743,8.718112036,No,,
919,51,Tanzania,Mt_fp,7,2016_Mitalula_5,NARITA 26,5,130423,1,NA,1,1,5,4,Mitalula,firstplant,1,5,NARITA_26    ,26,NARITA_26    ,26,2.5,7.5,223.3333333,2,2,22.22222,0.666666667,0,0.666666667,1,17.01666667,7.666666667,15.96666667,2.074107143,1.05,124.8333333,15.66666667,508.2,639.5,135,0.133333333,16.75,11.88888889,3.4725,2.455,5.027777778,0,639.5,365,0.570758405,1111,10.79048254,10.12466432,No,,
920,62,Tanzania,Mt_fp,7,2016_Mitalula_6,NARITA 6,6,NA,1,NA,NA,NA,NA,5,Mitalula,firstplant,1,6,NARITA_06    ,6,NARITA_06    ,6,4.333333333,8.666666667,213.3333333,4.333333333,4.333333333,33.33333,1,0,0.666666667,1,17.76666667,8,17.5,2.1875,0.266666667,128.3333333,15.66666667,515.6666667,680.3333333,164.6666667,33.4,16.77777778,11.83333333,3.547777778,2.532777778,4.888888889,0,680.3333333,365,0.536501715,1111,10.58988217,10.43093459,No,,
922,75,Tanzania,Mt_fp,7,2016_Mitalula_7,NARITA 12,7,130334,1,NA,1,1,7,6,Mitalula,firstplant,1,7,NARITA_12    ,12,NARITA_12    ,12,2.416666667,8.75,245.8333333,2.416666667,2.416666667,28.24073833,0.833333333,0,0.583333333,1,21.76666667,7.666666667,20.81666667,2.732440476,0.95,138.6666667,17.33333333,475.1,646.25,168.8,37.61111111,19.18055556,12.18055556,3.544027778,2.524027778,5.125,0,646.25,365,0.564796905,1111,13.65835178,13.06223688,No,,
923,87,Tanzania,Mt_fp,7,2016_Mitalula_8,Gros michel,8,130417,1,1,1,1,8,7,Mitalula,firstplant,1,8,Gros_Michel  ,33,Gros_Michel  ,33,4.75,8.25,210.625,4.75,4.75,35.06944375,1.25,4.16666625,1.25,1,16.325,6.875,14.6,2.112708333,1.725,113.375,15.875,607.3333333,723,116.6666667,0.10625,16.8125,12,3.559375,2.545416667,5.125,0,723,365,0.504840941,1111,9.156338001,8.18882296,No,,
924,100,Tanzania,Mt_fp,7,2016_Mitalula_9,Williams,9,130414,1,1,1,2,1,8,Mitalula,firstplant,1,9,Williams     ,34,Williams     ,34,7.5,6.5,117.5,8,8,28.125,2.5,18.75,2.5,1,17.7,6.5,16.5,2.510714286,1.2,112.5,17,.,695,.,0.1,17.58333334,12,3.514166667,2.5325,4.583333334,0,695,365,0.525179856,1111,10.32750432,9.627334532,No,,
925,2,Tanzania,Mt_fp,7,2016_Mitalula_10,NARITA 25,10,NA,1,NA,NA,NA,NA,9,Mitalula,firstplant,1,10,NARITA_25    ,25,NARITA_25    ,25,2.5,7.5,195,2.5,2.5,16.666665,0.5,0,0.5,1,16.4,8,16.9,2.1125,-0.5,135,16.5,455,633,140,0.1,16.16666667,11.5,3.2475,2.231666667,5.083333334,0,633,365,0.576619273,1111,10.50623381,10.82654581,No,,
927,4,Tanzania,Mt_fp,7,2016_Mitalula_11,NARITA 19,11,130354,1,NA,1,2,3,10,Mitalula,firstplant,1,11,NARITA_19    ,19,NARITA_19    ,19,3.333333333,9.666666667,165.8333333,3.333333333,3.333333333,34.25925667,1,0,1,1,15.8,7,15.11666667,2.146726191,0.683333333,115.5,15.83333333,546.75,691.3333333,149.5,0.1,16.69444445,11.83333333,3.366388889,2.348333333,5.027777778,0,691.3333333,365,0.527965284,1111,9.267797011,8.866974568,No,,
928,5,Tanzania,Mt_fp,7,2016_Mitalula_12,NARITA 20,12,130368,1,NA,1,2,4,11,Mitalula,firstplant,1,12,NARITA_20    ,20,NARITA_20    ,20,4,9.5,192.5,4,4,24.9999975,0.75,0,0.75,1,16.8,7.75,16.4,2.111607143,0.4,130,16.5,503.6666667,670.25,156,0.125,16.33333333,12,3.522083333,2.531666667,4.916666667,0,670.25,365,0.544572921,1111,10.16434465,9.922336442,No,,
929,6,Tanzania,Mt_fp,7,2016_Mitalula_13,NARITA 27,13,130407,1,NA,1,2,5,12,Mitalula,firstplant,1,13,NARITA_27    ,27,NARITA_27    ,27,2.5,7,170,2.5,2.5,16.666665,0.5,0,0.5,1,19.65,8,18,2.25,1.65,163,20,507.5,645.5,138,0.125,17.41666667,10.875,3.0875,2.1725,4.833333334,0,645.5,365,0.565453137,1111,12.34449225,11.30793184,No,,
930,7,Tanzania,Mt_fp,7,2016_Mitalula_14,NARITA 18,14,130396,1,NA,1,2,6,13,Mitalula,firstplant,1,14,NARITA_18    ,18,NARITA_18    ,18,5,1.5,15,5,5,33.33333,1,0,1,1,19.55,8,18.4,2.3,1.15,146.5,18,550.5,670,119.5,0.15,16.33333334,12.08333334,3.554166667,2.5475,5.166666667,0,670,365,0.544776119,1111,11.83256455,11.13653134,No,,
931,8,Tanzania,Mt_fp,7,2016_Mitalula_15,NARITA 8,15,130369,1,NA,1,2,7,14,Mitalula,firstplant,1,15,NARITA_08    ,8,NARITA_08    ,8,2,7.833333333,208.3333333,2,2,27.08333333,0.666666667,0,0.666666667,1,15.98333333,7.666666667,15.11666667,1.974107143,0.866666667,127.1666667,16.16666667,466,604.6666667,139.3333333,0.116666667,16.83333334,11.875,3.391111111,2.411666667,5.305555556,0,604.6666667,365,0.603638368,1111,10.71909826,10.137875,No,,
933,10,Tanzania,Mt_fp,7,2016_Mitalula_16,NARITA 4,16,130339,1,NA,1,2,8,15,Mitalula,firstplant,1,16,NARITA_04    ,4,NARITA_04    ,4,1,10,220,1,1,33.33333,1,0,1,1,15.5,8,14.5,1.8125,1,153,19,478,605,127,0.1,16.66666667,10.5,2.805,1.881666667,4.833333333,0,605,365,0.603305785,1111,10.38922727,9.718954545,No,,
