Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
1568,1,Tanzania,Ta_fp,10,2016_TaCRI_1,NARITA 21,1,129139,1,NA,1,1,1,1,TaCRI,firstplant,1,1,NARITA_21    ,21,NARITA_21    ,21,1.25,8,229,1.25,1.25,0,0,-20.83333333,0,1,27.65,8.75,28.4,3.107440476,-0.75,110.75,11.5,.,598.75,.,75.20833333,13.9375,11.70833333,2.958333333,2.045833333,1.875,0,598.75,365,0.60960334,1111,18.72649645,19.23444843,No,,
1569,13,Tanzania,Ta_fp,10,2016_TaCRI_2,Ndizi Uganda,2,129137,1,1,1,1,2,2,TaCRI,firstplant,1,2,Ndizi_Uganda ,30,Ndizi_Uganda ,30,0,5.4,299.8,0,0,0,0,0,0,1,15.76,4.8,14.12,2.922666667,1.64,45.6,9,400,561,161,0.36,13.85,12.76666667,3.796666667,2.613333333,2,0,561,365,0.650623886,1111,11.39200784,10.2065451,No,,
1570,25,Tanzania,Ta_fp,10,2016_TaCRI_3,NARITA 4,3,129163,1,NA,1,1,3,3,TaCRI,firstplant,1,3,NARITA_04    ,4,NARITA_04    ,4,4,10,312,4,4,0,0,-25,0,1,36.8,7,35,5,1.8,114,16,401,593,192,0.4,18.66666667,12,3.016666667,2.15,2,0,593,365,0.615514334,1111,25.16518044,23.93427487,No,,
1571,37,Tanzania,Ta_fp,10,2016_TaCRI_4,Cachaco,4,129171,1,1,1,1,4,4,TaCRI,firstplant,1,4,Cachaco      ,32,Cachaco      ,32,9,12,284,7,7,0,0,0,0,1,26.6,5,25.2,5.04,1.4,52,10,506,648,142,500,14.83333333,14.58333333,3.85,2.966666667,2,0,648,365,0.563271605,1111,16.64614043,15.77002778,No,,
1572,49,Tanzania,Ta_fp,10,2016_TaCRI_5,Mbwazirume,5,129175,1,1,1,1,5,5,TaCRI,firstplant,1,5,Mbwazirume   ,29,Mbwazirume   ,29,2,6.666666667,297.6666667,6,6,0,0,-7.5,0,1,30.26666667,7,28,3.94,2.266666667,106.6666667,14.33333333,441,573.6666667,132.6666667,100.2333333,14.1,12.63888889,3.494444445,2.644444444,2.111111111,0,573.6666667,365,0.63625799,1111,21.39498083,19.79271354,No,,
1573,60,Tanzania,Ta_fp,10,2016_TaCRI_6,Gros michel,6,129161,1,1,1,1,6,6,TaCRI,firstplant,1,6,Gros_Michel  ,33,Gros_Michel  ,33,4,10,327.5,4,4,0,0,0,0,1,61.3,9,60.8,6.9125,0.5,150.5,16.5,.,649,.,400,20.45833333,13.25,3.216666667,2.366666667,1.5,0,649,365,0.562403698,1111,38.30211017,37.98969492,No,,
1574,72,Tanzania,Ta_fp,10,2016_TaCRI_7,NARITA 19,7,129086,1,NA,1,1,7,7,TaCRI,firstplant,1,7,NARITA_19    ,19,NARITA_19    ,19,5,6,270,5,5,0,0,-20,0,1,15.2,6,14,2.333333333,1.2,104,17,.,561,.,0.2,9.833333333,9.333333333,3,2.033333333,2,0,561,365,0.650623886,1111,10.98721569,10.11980392,No,,
1575,83,Tanzania,Ta_fp,10,2016_TaCRI_8,Williams,8,129169,1,1,1,1,8,8,TaCRI,firstplant,1,8,Williams     ,34,Williams     ,34,2.25,8.875,163.25,2.25,2.25,0,0,-24.79166667,0,1,45.15,7.625,40.625,5.354464286,4.525,123,15.75,.,572.625,.,0.295833333,18.04166667,11.875,3.145833333,2.266666667,2.1875,0,572.625,365,0.637415411,1111,31.97380878,28.76934621,No,,
1576,96,Tanzania,Ta_fp,10,2016_TaCRI_9,NARITA 2,9,129166,1,NA,1,2,1,9,TaCRI,firstplant,1,9,NARITA_02    ,2,NARITA_02    ,2,3.333333333,7,277.3333333,3,3,0,0,-25,0,1,29.4,8,27.4,3.475793651,2,111.3333333,13.66666667,.,600.6666667,.,50.27222222,15.08333333,11.11111111,2.955555556,2.077777778,1.666666667,0,600.6666667,365,0.607658158,1111,19.84818146,18.49796504,No,,
1577,2,Tanzania,Ta_fp,10,2016_TaCRI_10,NARITA 8,10,129103,1,NA,1,2,2,10,TaCRI,firstplant,1,10,NARITA_08    ,8,NARITA_08    ,8,2,4.5,237,2,2,0,0,0,0,1,41.7,8.5,36.3,4.226388889,5.4,143,16,.,604.5,.,125.2,15.25,11.41666667,3.158333334,2.25,1.5,0,604.5,365,0.603804797,1111,27.97349132,24.35102481,No,,
