"","lat","lon","pdate","end_date","eval_time","eval_time_months"
"imtp_1566_c1",15.4166667,-87.9333333,1990-01-01,1990-11-20,323.5,11
"imtp_1566_c2",15.4166667,-87.9333333,1990-11-20,1991-04-16,146.666666666667,5
"imtp_1683",3.8166667,-76.5166667,1991-10-10,1992-10-11,367.375,12
"imtp_1924",4.5833333,9.65,1991-07-04,1992-03-19,259.333333333333,9
"imtp_2935",4.5833333,9.65,1995-10-19,1996-04-25,189.387272727271,6
"imtp_2937_c1",10.2666667,-83.45,1996-02-12,1996-10-24,255.594166666665,9
"imtp_2938",15.4166667,-87.9333333,1996-07-12,1997-05-29,321.042727272727,11
"imtp_2939_c1",9.2666667,7.3333333,1995-08-08,1996-09-24,413.5,14
"imtp_2939_c2",9.2666667,7.3333333,1996-09-24,1997-12-13,445,15
"imtp_2940_alley_c1",4.7666667,7.1666667,1995-06-19,1996-06-08,355.777777777778,12
"imtp_2940_alley_c2",4.7666667,7.1666667,1996-06-08,1997-01-24,229.5,8
"imtp_2940_mono_c1",4.7666667,7.1666667,1995-06-20,1996-07-07,383.833333333333,13
"imtp_2940_mono_c2",4.7666667,7.1666667,1996-07-07,1997-03-11,246.611111111112,8
"imtp_2941_c1",7.4333333,3.9,1995-08-14,1996-09-17,400.111111111111,13
"imtp_2941_c2",7.4333333,3.9,1996-09-17,1997-04-11,206.125,7
"imtp_2942",7.0833333,125.6,1996-06-20,1997-05-02,316.666666666667,11
"imtp_2957",-21.1666667,-175.166667,1996-01-09,1996-11-13,309,10
"imtp_16166_mother_A",24.13333333,89.03333333,2002-04-07,2003-02-07,306.224884792627,10
"imtp_16166_mother_B",24.13333333,89.03333333,2002-04-07,2003-02-18,317.737566137566,11
"imtp_16166_mother_C",24.13333333,89.03333333,2002-04-07,2003-01-27,295.872619047619,10
"imtp_16167_mother_A",4.583333333,9.65,1999-11-17,2000-07-14,240.259259259259,8
"imtp_16167_mother_B",4.583333333,9.65,1999-11-17,2000-07-19,245.730769230769,8
"imtp_16167_mother_C",4.583333333,9.65,1999-11-17,2000-07-08,234.24,8
"imtp_16167_mother_D",4.583333333,9.65,1999-11-17,2000-07-19,245.703703703704,8
"imtp_16167_mother_E",4.583333333,9.65,1999-11-17,2000-07-10,236.56,8
"imtp_16170_mother_A",7.531833333,125.8350667,2002-08-13,2003-09-08,391.046000167883,13
"imtp_16170_mother_B",7.531833333,125.8350667,2002-08-13,2003-08-29,381.329557660385,13
"imtp_16170_mother_C",7.531833333,125.8350667,2002-08-13,2003-08-17,369.917165071771,12
"imtp_16170_mother_D",7.531833333,125.8350667,2002-08-13,2003-08-07,359.910517921598,12
"imtp_16170_mother_E",7.531833333,125.8350667,2002-08-13,2003-08-17,369.056807307525,12
"imtp_16176_mother_A",15.4166667,-87.9333333,2002-02-01,2002-11-08,280.633640552995,9
"imtp_16176_mother_B",15.4166667,-87.9333333,2002-02-01,2002-11-20,292.242922975642,10
"imtp_16176_mother_C",15.4166667,-87.9333333,2002-02-01,2002-11-06,278.678571428571,9
"imtp_16176_mother_D",15.4166667,-87.9333333,2002-02-01,2002-11-15,287.022556390978,10
"imtp_16177_mother_A",11.3560417,-85.7994444,2002-06-29,2003-06-17,352.557500000001,12
"imtp_16177_mother_B",11.3560417,-85.7994444,2002-07-01,2003-06-17,351.130817610063,12
"imtp_16177_mother_C",11.3560417,-85.7994444,2002-06-29,2003-08-01,398.5,13
"imtp_16178_mother_A",7.01415,125.1538278,2002-01-04,2002-09-17,256.864022715811,9
"imtp_16178_mother_B",7.01415,125.1538278,2002-01-04,2002-09-18,257.9760960642,9
