id,lat,lon,pdate,end_date,country,location_name,study
imtp_1566_c1,15.4166667,-87.9333333,1/1/1990,12/2/1990,Honduras,La Lima,IMTP-1
imtp_1683,3.8166667,-76.5166667,10/10/1991,10/11/1992,Colombia,Zabaletas,IMTP-1
imtp_1924,4.5833333,9.65,7/4/1991,3/19/1992,Cameroon,Njombe,IMTP-2
imtp_2935,4.5833333,9.65,10/19/1995,4/25/1996,Cameroon,Njombe,IMTP-2
imtp_2937_c1,10.2666667,-83.45,2/12/1996,10/24/1996,Costa Rica,La Rita,IMTP-2
imtp_2938,15.4166667,-87.9333333,7/12/1996,5/29/1997,Honduras,La Lima,IMTP-2
imtp_2939_c1,9.2666667,7.3333333,8/8/1995,9/24/1996,Nigeria,Abuja,IMTP-2
imtp_2940_mono_c1,4.7666667,7.1666667,6/20/1995,7/7/1996,Nigeria,Onne,IMTP-2
imtp_2941_c1,7.4333333,3.9,8/14/1995,9/17/1996,Nigeria,Ibadan,IMTP-2
imtp_2942,7.0833333,125.6,6/20/1996,5/2/1997,Philippines,Davao,IMTP-2
imtp_2957,-21.1666667,-175.166667,1/9/1996,11/13/1996,Tonga,Vaini,IMTP-2
imtp_16166_mother_A,24.13333333,89.03333333,4/7/2002,2/7/2003,Bangladesh,Ishurdi,IMTP-3
imtp_16167_mother_A,4.583333333,9.65,11/17/1999,7/14/2000,Cameroon,Njombe,IMTP-3
imtp_16170_mother_A,7.531833333,125.8350667,8/13/2002,9/4/2003,Philippines,Davao,IMTP-3
imtp_16176_mother_A,15.4166667,-87.9333333,1/2/2002,11/8/2002,Honduras,La Lima,IMTP-3
imtp_16177_mother_A,11.3560417,-85.7994444,6/29/2002,6/17/2003,Nicaragua,Rivas,IMTP-3
imtp_16178_mother_A,7.01415,125.1538278,1/4/2002,9/17/2002,Philippines,Dole,IMTP-3
imtp_16181_mother,21.3,105.9833333,8/17/2002,9/18/2003,Vietnam,Ha Tay,IMTP-3
3191,-1.1,-79.4833333,11/1/2003,7/31/2004,Ecuador,Pichilingue,Narvaez
3193,-0.2333333,-79.3166667,2/1/2003,5/31/2004,Ecuador,El Carmen,Narvaez
3194,-3.074353,-79.769084,2/1/2003,5/31/2004,Ecuador,Pagua,Narvaez
mgis_20_c1,18.4717722,-67.0511806,8/1/2014,8/5/2015,Puerto Rico,Isabela,MGIS_20
mgis_6_c1,18.4717722,-67.0511806,2/20/2008,2/1/2009,Puerto Rico,Isabela,MGIS_6
Ka_fp_1,0.41666667,32.6,5/4/2016,9/11/2017,Uganda,Kawanda,BBB
Mb_fp_1,-0.933333,30.61666667,5/15/2016,12/13/2017,Uganda,Mbarara,BBB
Mt_fp_1,-8.5,33,4/9/2016,1/24/2018,Tanzania,Mitalula,BBB
Ma_fp_1,-1.333333,31.5,4/7/2016,2/24/2018,Tanzania,Maruku,BBB
Ta_fp_1,-3.24372,37.24647,4/14/2016,12/4/2017,Tanzania,TaCRI,BBB
